Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
13/08/2022,Milan,Udinese,H,1.44,4.75,7.0
13/08/2022,Sampdoria,Atalanta,A,4.33,3.9,1.75
13/08/2022,Lecce,Inter,A,10.0,5.75,1.28
13/08/2022,Monza,Torino,A,2.6,3.3,2.75
14/08/2022,Fiorentina,Cremonese,H,1.36,5.0,8.5
14/08/2022,Lazio,Bologna,H,1.57,4.33,5.75
14/08/2022,Salernitana,Roma,A,6.5,4.75,1.44
14/08/2022,Spezia,Empoli,H,2.45,3.3,2.9
15/08/2022,Verona,Napoli,A,3.5,3.5,2.05
15/08/2022,Juventus,Sassuolo,H,1.44,4.75,7.0
20/08/2022,Torino,Lazio,D,3.0,3.5,2.3
20/08/2022,Udinese,Salernitana,D,1.75,3.8,4.5
20/08/2022,Inter,Spezia,H,1.16,8.0,15.0
20/08/2022,Sassuolo,Lecce,H,1.75,4.0,4.2
21/08/2022,Empoli,Fiorentina,D,3.75,3.8,1.9
21/08/2022,Napoli,Monza,H,1.33,5.5,8.0
21/08/2022,Atalanta,Milan,D,2.75,3.5,2.5
21/08/2022,Bologna,Verona,D,2.15,3.5,3.3
22/08/2022,Roma,Cremonese,H,1.25,6.5,11.0
22/08/2022,Sampdoria,Juventus,D,5.75,4.0,1.6
26/08/2022,Monza,Udinese,A,3.1,3.4,2.3
26/08/2022,Lazio,Inter,H,4.0,3.8,1.83
27/08/2022,Cremonese,Torino,A,3.2,3.4,2.25
27/08/2022,Juventus,Roma,D,2.3,3.3,3.1
27/08/2022,Milan,Bologna,H,1.33,5.5,8.5
27/08/2022,Spezia,Sassuolo,D,3.0,3.6,2.25
28/08/2022,Salernitana,Sampdoria,H,2.45,3.2,3.0
28/08/2022,Verona,Atalanta,A,4.2,4.0,1.75
28/08/2022,Fiorentina,Napoli,D,3.25,3.6,2.15
28/08/2022,Lecce,Empoli,D,2.3,3.5,3.0
30/08/2022,Sassuolo,Milan,D,5.25,4.33,1.57
30/08/2022,Inter,Cremonese,H,1.14,8.0,21.0
30/08/2022,Roma,Monza,H,1.3,5.5,10.0
31/08/2022,Empoli,Verona,D,2.62,3.3,2.7
31/08/2022,Sampdoria,Lazio,D,4.2,3.6,1.85
31/08/2022,Udinese,Fiorentina,H,2.7,3.5,2.5
31/08/2022,Juventus,Spezia,H,1.28,5.75,12.0
31/08/2022,Napoli,Lecce,D,1.25,6.25,11.0
01/09/2022,Atalanta,Torino,H,1.72,3.75,5.25
01/09/2022,Bologna,Salernitana,D,1.85,3.6,4.33
03/09/2022,Fiorentina,Juventus,D,3.0,3.25,2.4
03/09/2022,Milan,Inter,H,2.8,3.25,2.6
03/09/2022,Lazio,Napoli,A,2.9,3.5,2.37
04/09/2022,Cremonese,Sassuolo,D,3.0,3.5,2.25
04/09/2022,Spezia,Bologna,D,3.0,3.3,2.37
04/09/2022,Verona,Sampdoria,H,2.05,3.6,3.6
04/09/2022,Udinese,Roma,H,4.2,3.75,1.85
05/09/2022,Monza,Atalanta,A,5.75,4.2,1.57
05/09/2022,Salernitana,Empoli,D,2.25,3.4,3.2
05/09/2022,Torino,Lecce,H,1.7,3.75,5.25
10/09/2022,Napoli,Spezia,H,1.25,6.0,11.0
10/09/2022,Inter,Torino,H,1.45,4.75,7.0
10/09/2022,Sampdoria,Milan,A,6.0,4.5,1.5
11/09/2022,Atalanta,Cremonese,D,1.3,5.5,9.5
11/09/2022,Bologna,Fiorentina,H,2.9,3.4,2.45
11/09/2022,Lecce,Monza,D,2.25,3.4,3.2
11/09/2022,Sassuolo,Udinese,A,2.7,3.5,2.55
