Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
30/08/14,Chievo,Juventus,A,7.0,4.0,1.5
30/08/14,Roma,Fiorentina,H,1.67,3.8,5.0
31/08/14,Atalanta,Verona,D,2.05,3.4,3.6
31/08/14,Cesena,Parma,H,3.1,3.2,2.35
31/08/14,Genoa,Napoli,A,3.9,3.4,1.95
31/08/14,Milan,Lazio,H,2.0,3.4,3.75
31/08/14,Palermo,Sampdoria,D,2.2,3.25,3.3
31/08/14,Sassuolo,Cagliari,D,2.3,3.4,3.0
31/08/14,Torino,Inter,D,3.1,3.3,2.3
31/08/14,Udinese,Empoli,H,1.8,3.5,4.5
13/09/14,Empoli,Roma,A,5.5,3.75,1.62
13/09/14,Juventus,Udinese,H,1.4,4.5,8.0
14/09/14,Cagliari,Atalanta,A,2.25,3.4,3.1
14/09/14,Fiorentina,Genoa,D,1.57,3.8,6.0
14/09/14,Inter,Sassuolo,H,1.44,4.33,7.0
14/09/14,Lazio,Cesena,H,1.33,5.0,9.0
14/09/14,Napoli,Chievo,A,1.36,4.75,8.0
14/09/14,Parma,Milan,A,2.7,3.2,2.6
14/09/14,Sampdoria,Torino,H,2.4,3.1,3.1
15/09/14,Verona,Palermo,H,2.2,3.3,3.3
20/09/14,Cesena,Empoli,D,2.8,3.0,2.7
20/09/14,Milan,Juventus,A,3.2,3.3,2.25
21/09/14,Atalanta,Fiorentina,A,3.25,3.1,2.3
21/09/14,Chievo,Parma,A,2.9,3.1,2.5
21/09/14,Genoa,Lazio,H,3.0,3.0,2.5
21/09/14,Palermo,Inter,D,3.75,3.4,2.0
21/09/14,Roma,Cagliari,H,1.3,5.0,11.0
21/09/14,Sassuolo,Sampdoria,D,2.63,3.2,2.7
21/09/14,Torino,Verona,A,1.91,3.5,4.0
21/09/14,Udinese,Napoli,H,3.3,3.25,2.2
23/09/14,Empoli,Milan,D,4.5,3.3,1.85
24/09/14,Cagliari,Torino,A,2.55,3.3,2.7
24/09/14,Fiorentina,Sassuolo,D,1.44,4.33,7.0
24/09/14,Inter,Atalanta,H,1.44,4.33,7.0
24/09/14,Juventus,Cesena,H,1.13,8.0,19.0
24/09/14,Napoli,Palermo,D,1.44,4.33,7.0
24/09/14,Parma,Roma,A,3.75,3.4,2.0
