Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
25/08/12,Fiorentina,Udinese,H,2.05,3.2,3.75
25/08/12,Juventus,Parma,H,1.3,5.0,10.5
26/08/12,Atalanta,Lazio,A,2.4,3.2,3.0
26/08/12,Chievo,Bologna,H,2.1,3.2,3.6
26/08/12,Genoa,Cagliari,H,1.95,3.3,4.0
26/08/12,Milan,Sampdoria,A,1.4,4.5,8.0
26/08/12,Palermo,Napoli,A,3.0,3.25,2.38
26/08/12,Pescara,Inter,A,4.33,3.6,1.8
26/08/12,Roma,Catania,D,1.4,4.5,8.0
26/08/12,Siena,Torino,D,2.25,3.1,3.4
01/09/12,Bologna,Milan,A,3.6,3.2,2.1
01/09/12,Torino,Pescara,H,1.83,3.4,4.5
02/09/12,Cagliari,Atalanta,D,2.3,3.0,3.4
02/09/12,Catania,Genoa,H,2.05,3.25,3.75
02/09/12,Inter,Roma,A,1.95,3.6,3.75
02/09/12,Lazio,Palermo,H,1.67,3.75,5.0
02/09/12,Napoli,Fiorentina,H,1.73,3.5,5.0
02/09/12,Parma,Chievo,H,2.05,3.2,3.8
02/09/12,Sampdoria,Siena,H,1.83,3.4,4.5
02/09/12,Udinese,Juventus,A,5.0,3.5,1.73
15/09/12,Milan,Atalanta,A,1.5,4.0,7.0
15/09/12,Palermo,Cagliari,D,2.2,3.2,3.4
16/09/12,Chievo,Lazio,A,2.8,3.1,2.6
16/09/12,Fiorentina,Catania,H,1.91,3.3,4.2
16/09/12,Genoa,Juventus,A,5.5,3.75,1.62
16/09/12,Napoli,Parma,H,1.55,3.8,6.5
16/09/12,Pescara,Sampdoria,A,2.8,3.1,2.6
16/09/12,Roma,Bologna,A,1.4,4.75,7.5
16/09/12,Siena,Udinese,D,2.5,3.2,2.88
16/09/12,Torino,Inter,A,3.1,3.3,2.3
22/09/12,Juventus,Chievo,H,1.29,5.25,10.0
22/09/12,Parma,Fiorentina,D,2.4,3.2,3.0
23/09/12,Atalanta,Palermo,H,1.83,3.4,4.5
23/09/12,Bologna,Pescara,D,1.73,3.5,5.0
23/09/12,Cagliari,Roma,A,3.1,3.5,2.2
23/09/12,Catania,Napoli,D,2.9,3.3,2.38
23/09/12,Inter,Siena,A,1.4,4.33,8.5
23/09/12,Lazio,Genoa,A,1.53,4.0,6.0
23/09/12,Sampdoria,Torino,D,2.1,3.2,3.6
23/09/12,Udinese,Milan,H,2.7,3.4,2.5
25/09/12,Fiorentina,Juventus,D,3.6,3.25,2.1
26/09/12,Catania,Atalanta,H,2.1,3.25,3.6
26/09/12,Chievo,Inter,A,3.0,3.2,2.4
26/09/12,Genoa,Parma,D,2.3,3.2,3.2
26/09/12,Milan,Cagliari,H,1.62,3.6,6.0
26/09/12,Napoli,Lazio,H,1.91,3.5,4.0
26/09/12,Pescara,Palermo,H,2.5,3.25,2.8
26/09/12,Roma,Sampdoria,D,1.62,4.1,5.0
26/09/12,Torino,Udinese,D,2.3,3.2,3.2
27/09/12,Siena,Bologna,H,2.2,3.1,3.5
29/09/12,Juventus,Roma,H,1.67,4.0,4.75
29/09/12,Parma,Milan,D,3.0,3.25,2.38
30/09/12,Atalanta,Torino,A,2.1,3.2,3.6
30/09/12,Bologna,Catania,H,2.4,3.3,2.9
30/09/12,Cagliari,Pescara,A,1.73,3.5,5.0
30/09/12,Inter,Fiorentina,H,2.1,3.3,3.5
30/09/12,Lazio,Siena,H,1.57,3.8,6.0
30/09/12,Palermo,Chievo,H,2.2,3.3,3.25
30/09/12,Sampdoria,Napoli,A,3.4,3.4,2.1
30/09/12,Udinese,Genoa,D,1.91,3.5,4.0
06/10/12,Chievo,Sampdoria,H,2.5,3.1,2.9
06/10/12,Genoa,Palermo,D,2.1,3.4,3.4
07/10/12,Catania,Parma,H,2.1,3.4,3.4
07/10/12,Fiorentina,Bologna,H,1.62,3.6,6.0
07/10/12,Milan,Inter,A,2.38,3.3,2.9
07/10/12,Napoli,Udinese,H,1.5,4.0,7.0
07/10/12,Pescara,Lazio,A,4.2,3.3,1.91
07/10/12,Roma,Atalanta,H,1.5,4.33,6.0
07/10/12,Siena,Juventus,A,6.5,3.8,1.53
07/10/12,Torino,Cagliari,A,1.85,3.4,4.33
20/10/12,Juventus,Napoli,H,1.7,3.6,5.0
20/10/12,Lazio,Milan,H,2.25,3.4,3.1
21/10/12,Atalanta,Siena,H,2.0,3.2,4.0
21/10/12,Cagliari,Bologna,H,2.0,3.3,3.8
21/10/12,Chievo,Fiorentina,D,3.1,3.1,2.38
21/10/12,Genoa,Roma,A,3.3,3.6,2.05
21/10/12,Inter,Catania,H,1.57,3.8,6.0
21/10/12,Palermo,Torino,D,2.1,3.3,3.5
21/10/12,Parma,Sampdoria,H,2.15,3.25,3.4
21/10/12,Udinese,Pescara,H,1.5,4.0,7.0
27/10/12,Milan,Genoa,H,1.5,4.0,7.0
27/10/12,Siena,Palermo,D,2.2,3.2,3.4
28/10/12,Bologna,Inter,A,3.6,3.2,2.1
28/10/12,Catania,Juventus,A,5.0,3.5,1.73
28/10/12,Fiorentina,Lazio,H,2.1,3.25,3.5
28/10/12,Napoli,Chievo,H,1.4,4.33,8.5
28/10/12,Pescara,Atalanta,D,2.9,3.1,2.5
28/10/12,Roma,Udinese,A,1.57,4.33,5.0
28/10/12,Sampdoria,Cagliari,A,2.1,3.2,3.6
28/10/12,Torino,Parma,A,2.2,3.1,3.5
30/10/12,Palermo,Milan,D,3.2,3.3,2.25
31/10/12,Atalanta,Napoli,H,3.5,3.3,2.1
31/10/12,Cagliari,Siena,H,1.91,3.3,4.2
31/10/12,Chievo,Pescara,H,1.73,3.5,5.0
31/10/12,Inter,Sampdoria,H,1.5,4.0,7.0
31/10/12,Juventus,Bologna,H,1.25,5.5,12.0
