Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
24/08/13,Sampdoria,Juventus,A,8.0,4.0,1.45
24/08/13,Verona,Milan,H,4.75,3.6,1.75
25/08/13,Cagliari,Atalanta,H,2.5,3.0,3.0
25/08/13,Inter,Genoa,H,1.62,3.75,5.5
25/08/13,Lazio,Udinese,H,2.0,3.4,3.75
25/08/13,Livorno,Roma,A,3.6,3.5,2.0
25/08/13,Napoli,Bologna,H,1.36,4.75,8.5
25/08/13,Parma,Chievo,D,1.85,3.5,4.2
25/08/13,Torino,Sassuolo,H,2.0,3.3,3.8
26/08/13,Fiorentina,Catania,H,1.44,4.2,7.5
31/08/13,Chievo,Napoli,A,4.75,3.5,1.75
31/08/13,Juventus,Lazio,H,1.36,4.5,9.0
01/09/13,Atalanta,Torino,H,2.1,3.2,3.6
01/09/13,Bologna,Sampdoria,D,2.2,3.25,3.3
01/09/13,Catania,Inter,A,2.75,3.2,2.6
01/09/13,Genoa,Fiorentina,A,4.0,3.3,1.95
01/09/13,Milan,Cagliari,H,1.4,4.5,7.5
01/09/13,Roma,Verona,H,1.4,4.5,8.0
01/09/13,Sassuolo,Livorno,A,1.95,3.2,4.2
01/09/13,Udinese,Parma,H,2.1,3.25,3.6
14/09/13,Inter,Juventus,D,3.5,3.3,2.1
14/09/13,Napoli,Atalanta,H,1.36,4.75,8.5
14/09/13,Torino,Milan,D,4.75,3.6,1.73
15/09/13,Fiorentina,Cagliari,D,1.44,4.33,7.0
15/09/13,Lazio,Chievo,H,1.67,3.75,5.0
15/09/13,Livorno,Catania,H,2.5,3.2,2.88
15/09/13,Sampdoria,Genoa,A,2.4,3.1,3.1
15/09/13,Udinese,Bologna,D,1.8,3.5,4.5
15/09/13,Verona,Sassuolo,H,2.25,3.2,3.25
16/09/13,Parma,Roma,A,3.1,3.3,2.3
21/09/13,Cagliari,Sampdoria,D,2.1,3.2,3.6
21/09/13,Chievo,Udinese,H,2.75,3.2,2.6
21/09/13,Genoa,Livorno,D,1.75,3.5,4.75
22/09/13,Atalanta,Fiorentina,A,2.8,3.4,2.4
22/09/13,Bologna,Torino,A,2.15,3.2,3.5
22/09/13,Catania,Parma,D,2.05,3.25,3.75
22/09/13,Juventus,Verona,H,1.17,7.0,15.0
22/09/13,Milan,Napoli,A,2.5,3.4,2.7
22/09/13,Roma,Lazio,H,2.1,3.4,3.4
22/09/13,Sassuolo,Inter,A,4.5,3.75,1.75
24/09/13,Udinese,Genoa,H,1.83,3.4,4.5
25/09/13,Bologna,Milan,D,3.4,3.4,2.1
25/09/13,Chievo,Juventus,A,7.5,4.2,1.44
25/09/13,Lazio,Catania,H,1.57,3.75,6.0
25/09/13,Livorno,Cagliari,D,2.75,3.1,2.63
25/09/13,Napoli,Sassuolo,D,1.17,7.0,15.0
25/09/13,Parma,Atalanta,H,1.91,3.3,4.2
25/09/13,Sampdoria,Roma,A,3.6,3.3,2.05
25/09/13,Torino,Verona,D,1.91,3.4,4.0
26/09/13,Inter,Fiorentina,H,1.91,3.4,4.0
28/09/13,Genoa,Napoli,A,4.75,3.5,1.75
28/09/13,Milan,Sampdoria,H,1.5,4.0,7.0
29/09/13,Atalanta,Udinese,H,2.5,3.2,2.88
29/09/13,Cagliari,Inter,D,3.8,3.3,2.0
29/09/13,Catania,Chievo,H,2.05,3.3,3.6
29/09/13,Roma,Bologna,H,1.33,5.0,9.0
29/09/13,Sassuolo,Lazio,D,4.5,3.4,1.83
29/09/13,Torino,Juventus,A,6.5,4.1,1.5
29/09/13,Verona,Livorno,H,1.91,3.3,4.2
30/09/13,Fiorentina,Parma,D,1.57,3.8,6.0
05/10/13,Chievo,Atalanta,A,2.2,3.2,3.4
05/10/13,Inter,Roma,A,2.25,3.5,3.0
06/10/13,Bologna,Verona,A,2.1,3.3,3.5
06/10/13,Catania,Genoa,D,2.1,3.4,3.4
06/10/13,Juventus,Milan,H,1.57,4.0,5.5
06/10/13,Lazio,Fiorentina,D,2.25,3.4,3.1
06/10/13,Napoli,Livorno,H,1.22,5.25,17.0
06/10/13,Parma,Sassuolo,H,1.57,3.75,6.0
06/10/13,Sampdoria,Torino,D,2.4,3.2,3.0
06/10/13,Udinese,Cagliari,H,1.83,3.5,4.33
18/10/13,Roma,Napoli,H,2.1,3.3,3.5
19/10/13,Cagliari,Catania,H,1.91,3.3,4.2
19/10/13,Milan,Udinese,H,1.67,3.6,5.25
20/10/13,Atalanta,Lazio,H,2.7,3.2,2.6
20/10/13,Fiorentina,Juventus,H,3.5,3.3,2.1
20/10/13,Genoa,Chievo,H,2.0,3.4,3.75
20/10/13,Livorno,Sampdoria,A,2.3,3.2,3.1
20/10/13,Sassuolo,Bologna,H,2.38,3.2,3.0
20/10/13,Torino,Inter,D,3.4,3.5,2.05
20/10/13,Verona,Parma,H,2.3,3.2,3.1
26/10/13,Inter,Verona,H,1.44,4.2,7.5
26/10/13,Sampdoria,Atalanta,H,2.3,3.2,3.2
27/10/13,Bologna,Livorno,H,2.0,3.3,3.8
27/10/13,Catania,Sassuolo,D,1.83,3.5,4.33
27/10/13,Chievo,Fiorentina,A,3.8,3.4,2.0
27/10/13,Juventus,Genoa,H,1.2,6.0,15.0
27/10/13,Lazio,Cagliari,H,1.83,3.4,4.5
27/10/13,Napoli,Torino,H,1.33,5.0,8.5
27/10/13,Parma,Milan,H,3.3,3.3,2.2
27/10/13,Udinese,Roma,A,3.3,3.4,2.15
29/10/13,Atalanta,Inter,D,3.8,3.3,2.0
30/10/13,Cagliari,Bologna,A,1.75,3.5,4.75
30/10/13,Fiorentina,Napoli,A,2.5,3.3,2.8
30/10/13,Genoa,Parma,H,2.4,3.2,3.0
30/10/13,Juventus,Catania,H,1.18,6.25,17.0
30/10/13,Livorno,Torino,D,2.8,3.1,2.6
30/10/13,Milan,Lazio,D,1.73,3.5,5.0
30/10/13,Sassuolo,Udinese,A,2.88,3.3,2.4
30/10/13,Verona,Sampdoria,H,2.0,3.4,3.75
31/10/13,Roma,Chievo,H,1.22,6.0,12.0
02/11/13,Milan,Fiorentina,A,2.05,3.5,3.5
02/11/13,Napoli,Catania,H,1.22,6.0,13.0
02/11/13,Parma,Juventus,A,4.5,3.75,1.73
03/11/13,Lazio,Genoa,A,1.57,3.8,6.0
03/11/13,Livorno,Atalanta,H,2.7,3.1,2.7
03/11/13,Sampdoria,Sassuolo,A,1.95,3.5,3.8
03/11/13,Torino,Roma,D,4.0,3.5,1.91
03/11/13,Udinese,Inter,A,2.63,3.3,2.63
03/11/13,Verona,Cagliari,H,2.05,3.4,3.5
04/11/13,Bologna,Chievo,D,2.05,3.3,3.6
09/11/13,Catania,Udinese,H,2.9,3.1,2.5
09/11/13,Inter,Livorno,H,1.3,5.0,10.0
10/11/13,Atalanta,Bologna,H,2.05,3.3,3.6
10/11/13,Cagliari,Torino,H,2.0,3.3,3.8
10/11/13,Chievo,Milan,D,3.8,3.3,2.0
10/11/13,Fiorentina,Sampdoria,H,1.4,4.5,8.0
10/11/13,Genoa,Verona,H,2.25,3.25,3.25
10/11/13,Juventus,Napoli,H,1.73,3.6,4.75
10/11/13,Parma,Lazio,D,2.3,3.2,3.2
10/11/13,Roma,Sassuolo,D,1.22,6.0,13.0
23/11/13,Milan,Genoa,D,1.44,4.2,7.5
23/11/13,Napoli,Parma,A,1.44,4.5,6.5
23/11/13,Verona,Chievo,A,2.1,3.3,3.5
24/11/13,Bologna,Inter,D,4.0,3.4,1.91
24/11/13,Livorno,Juventus,A,8.5,4.75,1.36
24/11/13,Sampdoria,Lazio,D,3.0,3.2,2.38
24/11/13,Sassuolo,Atalanta,H,2.2,3.2,3.4
24/11/13,Torino,Catania,H,1.8,3.5,4.5
24/11/13,Udinese,Fiorentina,H,2.8,3.1,2.6
25/11/13,Roma,Cagliari,D,1.44,4.33,7.0
30/11/13,Genoa,Torino,D,2.38,3.2,3.1
30/11/13,Parma,Bologna,D,1.8,3.5,4.5
01/12/13,Atalanta,Roma,D,4.0,3.4,1.91
01/12/13,Cagliari,Sassuolo,D,1.83,3.5,4.33
01/12/13,Catania,Milan,A,4.75,3.6,1.75
01/12/13,Chievo,Livorno,H,1.91,3.4,4.0
01/12/13,Inter,Sampdoria,D,1.4,4.5,8.0
01/12/13,Juventus,Udinese,H,1.3,5.0,10.0
02/12/13,Fiorentina,Verona,H,1.44,4.33,7.0
02/12/13,Lazio,Napoli,A,3.1,3.3,2.3
06/12/13,Bologna,Juventus,A,8.5,4.33,1.4
07/12/13,Livorno,Milan,D,5.5,3.75,1.62
07/12/13,Napoli,Udinese,D,1.57,3.75,6.0
08/12/13,Cagliari,Genoa,H,1.95,3.3,4.0
08/12/13,Inter,Parma,D,1.65,3.75,5.5
08/12/13,Roma,Fiorentina,H,1.91,3.4,4.0
08/12/13,Sampdoria,Catania,H,1.73,3.6,4.75
08/12/13,Sassuolo,Chievo,A,2.1,3.2,3.6
08/12/13,Torino,Lazio,H,2.38,3.2,3.0
08/12/13,Verona,Atalanta,H,1.95,3.3,4.0
14/12/13,Catania,Verona,D,2.7,3.0,2.75
15/12/13,Chievo,Sampdoria,A,2.25,3.0,3.5
15/12/13,Fiorentina,Bologna,H,1.44,4.33,7.0
15/12/13,Genoa,Atalanta,D,2.15,3.25,3.4
15/12/13,Juventus,Sassuolo,H,1.17,6.5,17.0
15/12/13,Lazio,Livorno,H,1.5,4.0,7.0
15/12/13,Napoli,Inter,H,1.91,3.5,4.0
15/12/13,Parma,Cagliari,D,1.8,3.6,4.33
15/12/13,Udinese,Torino,A,1.91,3.4,4.0
16/12/13,Milan,Roma,D,2.3,3.3,3.1
21/12/13,Cagliari,Napoli,D,3.5,3.4,2.05
21/12/13,Livorno,Udinese,A,3.1,3.1,2.4
22/12/13,Atalanta,Juventus,A,7.5,4.2,1.44
22/12/13,Bologna,Genoa,H,2.1,3.25,3.5
22/12/13,Inter,Milan,H,2.63,3.3,2.63
22/12/13,Roma,Catania,H,1.22,6.5,11.0
22/12/13,Sampdoria,Parma,D,2.5,3.2,2.88
22/12/13,Sassuolo,Fiorentina,A,4.33,3.4,1.85
22/12/13,Torino,Chievo,H,1.83,3.3,4.75
22/12/13,Verona,Lazio,H,2.7,3.2,2.63
05/01/14,Chievo,Cagliari,D,2.38,3.0,3.25
05/01/14,Fiorentina,Livorno,H,1.33,4.75,10.0
05/01/14,Juventus,Roma,H,1.67,3.75,5.0
06/01/14,Catania,Bologna,H,2.1,3.2,3.6
06/01/14,Genoa,Sassuolo,H,2.1,3.3,3.5
06/01/14,Lazio,Inter,H,2.4,3.3,2.88
06/01/14,Milan,Atalanta,H,1.44,4.2,7.5
06/01/14,Napoli,Sampdoria,H,1.36,4.75,8.0
06/01/14,Parma,Torino,H,2.05,3.3,3.6
06/01/14,Udinese,Verona,A,1.8,3.4,4.75
11/01/14,Bologna,Lazio,D,3.1,3.1,2.38
11/01/14,Livorno,Parma,A,3.0,3.2,2.38
12/01/14,Atalanta,Catania,H,1.85,3.4,4.33
12/01/14,Cagliari,Juventus,A,7.0,4.33,1.44
12/01/14,Roma,Genoa,H,1.36,4.5,9.0
12/01/14,Sassuolo,Milan,H,5.0,3.6,1.7
12/01/14,Torino,Fiorentina,D,2.8,3.3,2.5
12/01/14,Verona,Napoli,A,3.8,3.5,1.95
13/01/14,Inter,Chievo,D,1.44,4.33,7.0
13/01/14,Sampdoria,Udinese,H,2.38,3.2,3.0
18/01/14,Juventus,Sampdoria,H,1.17,6.5,17.0
18/01/14,Roma,Livorno,H,1.18,6.5,15.0
19/01/14,Atalanta,Cagliari,H,2.45,3.1,3.0
19/01/14,Bologna,Napoli,D,5.0,3.75,1.67
19/01/14,Catania,Fiorentina,A,3.6,3.4,2.05
19/01/14,Chievo,Parma,A,2.8,3.1,2.6
19/01/14,Genoa,Inter,H,3.9,3.4,1.95
19/01/14,Milan,Verona,H,1.44,4.33,7.0
19/01/14,Sassuolo,Torino,A,2.7,3.2,2.6
19/01/14,Udinese,Lazio,A,2.5,3.1,2.9
25/01/14,Lazio,Juventus,D,4.75,3.6,1.73
25/01/14,Napoli,Chievo,D,1.29,5.25,10.0
26/01/14,Cagliari,Milan,A,3.8,3.3,2.0
26/01/14,Fiorentina,Genoa,D,1.33,4.75,10.0
26/01/14,Inter,Catania,D,1.33,4.75,9.5
26/01/14,Livorno,Sassuolo,H,2.4,3.1,3.1
26/01/14,Parma,Udinese,H,2.0,3.3,3.8
26/01/14,Sampdoria,Bologna,D,1.75,3.4,5.0
26/01/14,Torino,Atalanta,H,1.75,3.4,5.0
26/01/14,Verona,Roma,A,4.75,3.6,1.75
01/02/14,Bologna,Udinese,A,2.5,3.1,2.9
01/02/14,Cagliari,Fiorentina,H,3.25,3.2,2.25
01/02/14,Milan,Torino,D,1.6,3.8,5.75
