Team,Points
Juventus,87
Napoli,78
Milan,72
Fiorentina,70
Udinese,66
Roma,62
Lazio,61
Catania,56
Inter,54
Parma,49
Cagliari,47
Chievo,45
Bologna,44
Sampdoria,43
Atalanta,42
Torino,40
Genoa,38
Siena,36
Palermo,32
Pescara,22
