Team,Points
Juventus,102
Roma,85
Napoli,78
Fiorentina,65
Inter,60
Parma,58
Milan,57
Torino,57
Lazio,56
Verona,54
Atalanta,50
Sampdoria,45
Genoa,44
Udinese,44
Cagliari,39
Chievo,36
Sassuolo,34
Catania,32
Bologna,29
Livorno,25
