Team,Points
Inter,94
Milan,75
Juventus,71
Atalanta,69
Bologna,68
Roma,63
Lazio,61
Fiorentina,60
Torino,53
Napoli,53
Genoa,49
Monza,45
Verona,38
Lecce,38
Udinese,37
Empoli,36
Cagliari,36
Frosinone,35
Sassuolo,30
Salernitana,17
