Team,Points
Juventus,87
Roma,70
Lazio,69
Fiorentina,64
Napoli,63
Genoa,59
Sampdoria,56
Inter,55
Torino,54
Milan,52
Sassuolo,49
Palermo,49
Verona,46
Chievo,43
Empoli,42
Udinese,41
Atalanta,37
Cagliari,34
Parma,26
Cesena,24
