Team,Points
Juventus,91
Napoli,82
Roma,80
Inter,67
Fiorentina,64
Sassuolo,61
Milan,57
Lazio,54
Chievo,50
Genoa,46
Empoli,46
Atalanta,45
Torino,45
Bologna,42
Sampdoria,40
Udinese,39
Palermo,39
Carpi,38
Frosinone,31
Verona,28
,0
