Team,Points
Milan,86
Inter,84
Napoli,79
Juventus,70
Lazio,64
Roma,63
Fiorentina,62
Atalanta,59
Verona,53
Torino,50
Sassuolo,50
Udinese,47
Bologna,46
Empoli,41
Sampdoria,36
Spezia,36
Salernitana,31
Cagliari,30
Genoa,28
Venezia,27
