Team,Points
Juventus,95
Napoli,91
Roma,77
Lazio,72
Inter,72
Milan,64
Atalanta,60
Fiorentina,57
Sampdoria,54
Torino,54
Sassuolo,43
Genoa,41
Chievo,40
Udinese,40
Bologna,39
Cagliari,39
Spal,38
Crotone,35
Verona,25
Benevento,21
