Team,Points
Inter,84
Milan,74
Juventus,74
Genoa,68
Fiorentina,68
Roma,63
Udinese,58
Palermo,57
Cagliari,53
Lazio,50
Atalanta,47
Sampdoria,46
Napoli,46
Siena,44
Catania,43
Chievo,38
Bologna,37
Torino,34
Reggina,31
Lecce,30
