Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
18/08/2018,Chievo,Juventus,A,13.0,5.75,1.25
18/08/2018,Lazio,Napoli,A,2.8,3.4,2.5
19/08/2018,Bologna,Spal,A,2.25,3.2,3.4
19/08/2018,Empoli,Cagliari,H,2.14,3.2,3.6
19/08/2018,Parma,Udinese,D,2.45,3.3,2.9
19/08/2018,Sassuolo,Inter,H,5.5,4.0,1.61
19/08/2018,Torino,Roma,A,3.5,3.5,2.1
20/08/2018,Atalanta,Frosinone,H,1.36,4.5,11.0
25/08/2018,Juventus,Lazio,H,1.36,5.0,8.5
25/08/2018,Napoli,Milan,H,1.61,4.0,5.5
26/08/2018,Cagliari,Sassuolo,D,2.45,3.3,2.9
26/08/2018,Fiorentina,Chievo,H,1.5,4.33,6.5
26/08/2018,Frosinone,Bologna,D,3.3,3.0,2.4
26/08/2018,Genoa,Empoli,H,1.95,3.4,4.0
26/08/2018,Inter,Torino,D,1.5,4.33,7.0
26/08/2018,Spal,Parma,H,2.04,3.3,3.8
26/08/2018,Udinese,Sampdoria,H,2.4,3.25,3.1
27/08/2018,Roma,Atalanta,D,1.72,3.75,5.0
31/08/2018,Milan,Roma,H,2.45,3.4,2.87
01/09/2018,Bologna,Inter,A,7.0,4.0,1.53
01/09/2018,Parma,Juventus,A,17.0,7.0,1.18
02/09/2018,Atalanta,Cagliari,A,1.55,4.2,6.0
02/09/2018,Chievo,Empoli,D,2.3,3.2,3.3
02/09/2018,Fiorentina,Udinese,H,1.57,4.0,6.0
02/09/2018,Lazio,Frosinone,H,1.22,6.5,13.0
02/09/2018,Sampdoria,Napoli,H,6.5,4.1,1.53
02/09/2018,Sassuolo,Genoa,H,2.1,3.3,3.75
02/09/2018,Torino,Spal,H,1.66,3.75,5.5
15/09/2018,Frosinone,Sampdoria,A,3.5,3.4,2.1
15/09/2018,Inter,Parma,A,1.25,6.0,12.0
15/09/2018,Napoli,Fiorentina,H,1.57,4.2,5.75
16/09/2018,Cagliari,Milan,D,5.0,3.6,1.75
16/09/2018,Empoli,Lazio,A,5.0,3.8,1.7
16/09/2018,Genoa,Bologna,H,1.9,3.25,4.5
16/09/2018,Juventus,Sassuolo,H,1.2,7.0,13.0
16/09/2018,Roma,Chievo,D,1.22,6.5,13.0
16/09/2018,Udinese,Torino,D,2.9,3.25,2.5
17/09/2018,Spal,Atalanta,H,4.0,3.5,1.95
19/09/2018,Sampdoria,Fiorentina,D,2.87,3.25,2.54
21/09/2018,Sassuolo,Empoli,H,2.1,3.3,3.6
22/09/2018,Fiorentina,Spal,H,1.61,3.6,6.5
22/09/2018,Parma,Cagliari,H,2.4,3.2,3.1
22/09/2018,Sampdoria,Inter,A,4.33,3.8,1.8
23/09/2018,Bologna,Roma,H,5.5,3.75,1.66
23/09/2018,Chievo,Udinese,A,3.0,3.2,2.5
23/09/2018,Frosinone,Juventus,A,13.0,7.5,1.16
23/09/2018,Lazio,Genoa,H,1.44,4.33,8.0
23/09/2018,Milan,Atalanta,D,2.04,3.5,3.6
23/09/2018,Torino,Napoli,A,4.5,3.8,1.75
25/09/2018,Inter,Fiorentina,H,1.66,3.8,5.5
26/09/2018,Atalanta,Torino,D,1.8,3.6,4.5
26/09/2018,Cagliari,Sampdoria,D,2.5,3.3,2.87
26/09/2018,Genoa,Chievo,H,1.8,3.4,5.0
26/09/2018,Juventus,Bologna,H,1.16,7.5,17.0
26/09/2018,Napoli,Parma,H,1.22,6.0,15.0
26/09/2018,Roma,Frosinone,H,1.2,7.0,13.0
26/09/2018,Udinese,Lazio,A,4.2,3.75,1.85
27/09/2018,Empoli,Milan,D,5.25,3.75,1.7
27/09/2018,Spal,Sassuolo,A,2.54,3.2,2.9
29/09/2018,Inter,Cagliari,H,1.33,5.0,10.0
29/09/2018,Juventus,Napoli,H,1.8,3.6,4.75
29/09/2018,Roma,Lazio,H,2.37,3.5,2.9
30/09/2018,Bologna,Udinese,H,2.5,3.1,3.1
30/09/2018,Chievo,Torino,A,3.75,3.2,2.1
30/09/2018,Fiorentina,Atalanta,H,2.25,3.3,3.25
30/09/2018,Frosinone,Genoa,A,3.5,3.1,2.25
30/09/2018,Parma,Empoli,H,2.3,3.2,3.3
30/09/2018,Sassuolo,Milan,A,3.3,3.4,2.2
01/10/2018,Sampdoria,Spal,H,1.8,3.6,4.33
05/10/2018,Torino,Frosinone,H,1.36,4.75,9.0
06/10/2018,Cagliari,Bologna,H,2.04,3.25,3.8
06/10/2018,Empoli,Roma,A,5.5,4.0,1.61
06/10/2018,Udinese,Juventus,A,9.0,4.75,1.36
07/10/2018,Atalanta,Sampdoria,A,1.6,4.0,5.5
07/10/2018,Genoa,Parma,A,1.75,3.75,4.75
07/10/2018,Lazio,Fiorentina,H,1.85,3.75,4.2
07/10/2018,Milan,Chievo,H,1.25,5.75,12.0
07/10/2018,Napoli,Sassuolo,H,1.33,5.25,9.0
07/10/2018,Spal,Inter,A,6.0,3.8,1.61
20/10/2018,Juventus,Genoa,D,1.2,7.0,13.0
20/10/2018,Roma,Spal,A,1.33,5.5,8.5
20/10/2018,Udinese,Napoli,A,6.0,3.9,1.6
21/10/2018,Bologna,Torino,D,3.4,3.3,2.2
21/10/2018,Chievo,Atalanta,A,6.0,4.0,1.57
21/10/2018,Fiorentina,Cagliari,D,1.5,4.5,6.0
21/10/2018,Frosinone,Empoli,D,2.9,3.25,2.5
21/10/2018,Inter,Milan,H,2.45,3.25,3.0
21/10/2018,Parma,Lazio,A,5.5,3.8,1.66
