Team,Points
Milan,82
Inter,76
Napoli,70
Lazio,66
Udinese,66
Roma,63
Juventus,58
Palermo,56
Fiorentina,51
Genoa,51
Parma,46
Chievo,46
Catania,46
Bologna,45
Cagliari,45
Cesena,43
Lecce,41
Sampdoria,36
Brescia,32
Bari,24
