Team,Points
Juventus,91
Roma,87
Napoli,86
Atalanta,72
Lazio,70
Milan,63
Inter,62
Fiorentina,60
Torino,53
Sampdoria,48
Cagliari,47
Sassuolo,46
Udinese,45
Chievo,43
Bologna,41
Genoa,36
Crotone,34
Empoli,32
Palermo,26
Pescara,18
