Team,Points
Juventus,84
Milan,80
Udinese,64
Lazio,62
Napoli,61
Inter,58
Roma,56
Parma,56
Atalanta,52
Bologna,51
Chievo,49
Catania,48
Fiorentina,46
Siena,44
Palermo,43
Cagliari,43
Genoa,42
Lecce,36
Novara,32
Cesena,22
