Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
28/08/10,Roma,Cesena,D,1.29,4.75,13.0
28/08/10,Udinese,Genoa,A,2.4,3.1,3.1
29/08/10,Bari,Juventus,H,4.33,3.25,1.91
29/08/10,Chievo,Catania,H,2.2,3.1,3.5
29/08/10,Fiorentina,Napoli,D,2.3,3.1,3.3
29/08/10,Milan,Lecce,H,1.33,4.5,11.0
29/08/10,Palermo,Cagliari,D,1.73,3.25,5.5
29/08/10,Parma,Brescia,H,1.83,3.25,4.75
29/08/10,Sampdoria,Lazio,H,2.1,3.1,3.75
30/08/10,Bologna,Inter,D,6.25,3.5,1.62
11/09/10,Cagliari,Roma,H,3.25,3.1,2.3
11/09/10,Cesena,Milan,H,7.0,3.75,1.53
11/09/10,Inter,Udinese,H,1.4,4.33,8.5
12/09/10,Brescia,Palermo,H,3.25,3.1,2.3
12/09/10,Catania,Parma,H,2.25,3.1,3.4
12/09/10,Genoa,Chievo,A,1.7,3.5,5.25
12/09/10,Juventus,Sampdoria,D,1.8,3.5,4.5
12/09/10,Lazio,Bologna,H,1.73,3.4,5.25
12/09/10,Lecce,Fiorentina,H,3.5,3.1,2.2
12/09/10,Napoli,Bari,D,1.73,3.4,5.25
18/09/10,Fiorentina,Lazio,A,2.05,3.25,3.75
18/09/10,Milan,Catania,D,1.3,4.75,11.0
19/09/10,Bari,Cagliari,D,1.95,3.3,4.0
19/09/10,Cesena,Lecce,H,2.0,3.25,3.9
19/09/10,Chievo,Brescia,A,1.91,3.3,4.2
19/09/10,Palermo,Inter,A,3.3,3.25,2.2
19/09/10,Parma,Genoa,D,2.35,3.2,3.1
19/09/10,Roma,Bologna,D,1.4,4.33,8.0
19/09/10,Sampdoria,Napoli,A,2.25,3.2,3.25
19/09/10,Udinese,Juventus,A,3.0,3.2,2.4
22/09/10,Bologna,Udinese,H,2.5,3.1,2.9
22/09/10,Brescia,Roma,H,3.6,3.2,2.1
22/09/10,Cagliari,Sampdoria,D,2.4,3.1,3.1
22/09/10,Catania,Cesena,H,2.05,3.1,3.9
22/09/10,Genoa,Fiorentina,D,2.2,3.1,3.4
22/09/10,Inter,Bari,H,1.4,4.5,7.5
22/09/10,Lazio,Milan,D,3.5,3.1,2.2
22/09/10,Lecce,Parma,D,2.5,3.0,3.0
22/09/10,Napoli,Chievo,A,1.67,3.4,5.75
23/09/10,Juventus,Palermo,A,1.73,3.5,5.0
25/09/10,Milan,Genoa,H,1.67,3.5,5.5
25/09/10,Roma,Inter,H,3.4,3.2,2.2
26/09/10,Bari,Brescia,H,1.91,3.2,4.33
26/09/10,Catania,Bologna,D,1.91,3.25,4.33
26/09/10,Cesena,Napoli,A,3.0,3.0,2.5
26/09/10,Chievo,Lazio,A,2.5,3.0,3.0
26/09/10,Fiorentina,Parma,H,1.95,3.2,4.2
26/09/10,Juventus,Cagliari,H,1.6,3.6,6.0
26/09/10,Palermo,Lecce,D,1.53,3.5,6.5
26/09/10,Sampdoria,Udinese,D,1.75,3.3,4.5
02/10/10,Parma,Milan,A,3.8,3.3,2.0
02/10/10,Udinese,Cesena,H,1.75,3.5,4.75
03/10/10,Bologna,Sampdoria,D,2.6,3.1,2.8
03/10/10,Chievo,Cagliari,D,2.25,3.1,3.4
03/10/10,Fiorentina,Palermo,A,2.0,3.25,3.9
03/10/10,Genoa,Bari,H,1.91,3.25,4.33
