Team,Points
Inter,64
Napoli,61
Atalanta,58
Bologna,53
Juventus,52
Lazio,51
Roma,49
Fiorentina,48
Milan,47
Udinese,40
Torino,38
Genoa,35
Como,29
Verona,29
Cagliari,26
Parma,25
Lecce,25
Empoli,22
Venezia,20
Monza,15
