Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
21/08/2021,Inter,Genoa,H,1.33,5.25,9.0
21/08/2021,Verona,Sassuolo,A,2.62,3.3,2.62
21/08/2021,Empoli,Lazio,A,4.6,4.0,1.7
21/08/2021,Torino,Atalanta,A,5.5,4.33,1.55
22/08/2021,Bologna,Salernitana,H,1.65,4.0,5.0
22/08/2021,Udinese,Juventus,D,7.5,4.33,1.45
22/08/2021,Napoli,Venezia,H,1.22,6.5,12.0
22/08/2021,Roma,Fiorentina,H,1.72,3.8,4.75
23/08/2021,Cagliari,Spezia,D,1.95,3.4,4.0
23/08/2021,Sampdoria,Milan,A,4.0,3.6,1.9
27/08/2021,Udinese,Venezia,H,1.7,3.75,5.0
27/08/2021,Verona,Inter,A,5.5,4.33,1.55
28/08/2021,Atalanta,Bologna,D,1.33,5.5,8.0
28/08/2021,Lazio,Spezia,H,1.33,4.75,9.5
28/08/2021,Fiorentina,Torino,H,2.2,3.4,3.25
28/08/2021,Juventus,Empoli,A,1.22,6.5,12.0
29/08/2021,Genoa,Napoli,A,6.0,4.5,1.5
29/08/2021,Sassuolo,Sampdoria,D,2.0,3.6,3.6
29/08/2021,Milan,Cagliari,H,1.44,4.5,7.0
29/08/2021,Salernitana,Roma,A,5.5,4.33,1.55
11/09/2021,Empoli,Venezia,A,1.8,3.8,4.2
11/09/2021,Napoli,Juventus,H,2.4,3.6,2.8
11/09/2021,Atalanta,Fiorentina,A,1.55,4.33,5.5
12/09/2021,Sampdoria,Inter,D,5.0,4.0,1.61
12/09/2021,Cagliari,Genoa,A,2.0,3.5,3.75
12/09/2021,Spezia,Udinese,A,3.2,3.4,2.3
12/09/2021,Torino,Salernitana,H,1.57,4.2,5.75
12/09/2021,Milan,Lazio,H,2.2,3.6,3.1
12/09/2021,Roma,Sassuolo,H,1.57,4.75,5.0
13/09/2021,Bologna,Verona,H,2.1,3.7,3.2
17/09/2021,Sassuolo,Torino,A,1.72,4.0,4.33
18/09/2021,Genoa,Fiorentina,A,3.3,3.3,2.25
18/09/2021,Inter,Bologna,H,1.36,5.0,8.5
18/09/2021,Salernitana,Atalanta,A,10.0,5.5,1.3
19/09/2021,Empoli,Sampdoria,A,2.55,3.6,2.6
19/09/2021,Venezia,Spezia,A,2.45,3.4,2.9
19/09/2021,Lazio,Cagliari,D,1.44,4.75,7.0
19/09/2021,Verona,Roma,H,4.0,3.8,1.83
19/09/2021,Juventus,Milan,D,2.1,3.4,3.5
20/09/2021,Udinese,Napoli,A,4.5,3.6,1.83
21/09/2021,Bologna,Genoa,D,1.95,3.5,3.75
21/09/2021,Atalanta,Sassuolo,H,1.5,4.75,6.0
21/09/2021,Fiorentina,Inter,A,3.75,3.6,1.9
22/09/2021,Salernitana,Verona,D,3.5,3.4,2.05
22/09/2021,Spezia,Juventus,A,8.0,5.5,1.33
22/09/2021,Cagliari,Empoli,A,2.0,3.75,3.4
22/09/2021,Milan,Venezia,H,1.25,6.0,12.0
23/09/2021,Sampdoria,Napoli,A,4.2,3.6,1.83
23/09/2021,Torino,Lazio,D,3.25,3.5,2.15
23/09/2021,Roma,Udinese,H,1.55,4.2,5.5
25/09/2021,Spezia,Milan,A,7.0,4.5,1.45
25/09/2021,Inter,Atalanta,D,1.9,3.75,3.8
25/09/2021,Genoa,Verona,D,2.75,3.25,2.62
26/09/2021,Juventus,Sampdoria,H,1.3,5.75,9.0
26/09/2021,Empoli,Bologna,H,2.6,3.75,2.5
26/09/2021,Sassuolo,Salernitana,H,1.4,5.0,7.5
26/09/2021,Udinese,Fiorentina,A,3.1,3.4,2.3
26/09/2021,Lazio,Roma,H,2.62,3.5,2.6
26/09/2021,Napoli,Cagliari,H,1.25,6.0,11.0
27/09/2021,Venezia,Torino,D,3.6,3.5,2.05
01/10/2021,Cagliari,Venezia,D,1.85,3.5,4.33
02/10/2021,Salernitana,Genoa,H,2.87,3.3,2.45
02/10/2021,Torino,Juventus,A,4.5,3.5,1.8
02/10/2021,Sassuolo,Inter,A,4.33,4.2,1.7
03/10/2021,Bologna,Lazio,H,3.1,3.6,2.2
03/10/2021,Sampdoria,Udinese,D,2.1,3.5,3.5
03/10/2021,Verona,Spezia,H,1.65,4.0,5.25
03/10/2021,Fiorentina,Napoli,A,3.9,3.5,1.95
03/10/2021,Roma,Empoli,H,1.4,5.0,7.0
03/10/2021,Atalanta,Milan,A,2.05,3.75,3.4
16/10/2021,Spezia,Salernitana,H,2.1,3.4,3.5
16/10/2021,Lazio,Inter,H,3.3,3.5,2.15
16/10/2021,Milan,Verona,H,1.55,4.2,5.75
17/10/2021,Cagliari,Sampdoria,H,2.55,3.4,2.75
17/10/2021,Empoli,Atalanta,A,5.75,4.33,1.55
17/10/2021,Genoa,Sassuolo,D,3.1,3.5,2.25
17/10/2021,Udinese,Bologna,D,2.25,3.4,3.2
17/10/2021,Napoli,Torino,H,1.4,4.5,8.5
17/10/2021,Juventus,Roma,H,1.85,3.8,4.0
18/10/2021,Venezia,Fiorentina,H,4.2,3.75,1.83
22/10/2021,Torino,Genoa,H,1.7,3.7,5.0
22/10/2021,Sampdoria,Spezia,H,1.8,3.8,4.2
23/10/2021,Salernitana,Empoli,A,2.7,3.4,2.62
23/10/2021,Sassuolo,Venezia,H,1.57,4.2,5.5
23/10/2021,Bologna,Milan,A,3.35,3.6,2.1
24/10/2021,Atalanta,Udinese,D,1.4,5.0,7.5
24/10/2021,Fiorentina,Cagliari,H,1.65,4.0,5.25
24/10/2021,Verona,Lazio,H,3.1,3.6,2.2
24/10/2021,Roma,Napoli,D,2.87,3.5,2.4
24/10/2021,Inter,Juventus,D,2.05,3.6,3.4
26/10/2021,Spezia,Genoa,D,2.3,3.5,3.0
26/10/2021,Venezia,Salernitana,A,1.95,3.4,4.0
26/10/2021,Milan,Torino,H,1.6,4.0,5.5
27/10/2021,Juventus,Sassuolo,A,1.44,4.75,6.5
27/10/2021,Sampdoria,Atalanta,A,4.33,4.2,1.72
27/10/2021,Udinese,Verona,D,2.4,3.4,2.9
27/10/2021,Cagliari,Roma,A,5.0,4.2,1.61
