Team,Points
Juventus,90
Napoli,79
Atalanta,69
Inter,69
Milan,68
Roma,66
Torino,63
Lazio,59
Sampdoria,53
Bologna,44
Sassuolo,43
Udinese,43
Spal,42
Parma,41
Fiorentina,41
Cagliari,41
Empoli,38
Genoa,38
Frosinone,25
Chievo,20
