Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
19/08/17,Juventus,Cagliari,H,1.14,8.0,19.0
19/08/17,Verona,Napoli,A,8.0,4.75,1.4
20/08/17,Atalanta,Roma,A,3.2,3.3,2.3
20/08/17,Bologna,Torino,D,3.1,3.3,2.38
20/08/17,Crotone,Milan,A,6.0,4.0,1.57
20/08/17,Inter,Fiorentina,H,1.57,4.0,6.0
20/08/17,Lazio,Spal,D,1.29,5.5,11.0
20/08/17,Sampdoria,Benevento,H,1.67,3.75,5.5
20/08/17,Sassuolo,Genoa,D,2.2,3.25,3.5
20/08/17,Udinese,Chievo,A,2.1,3.2,3.8
26/08/17,Benevento,Bologna,A,2.7,3.2,2.75
26/08/17,Genoa,Juventus,A,9.0,4.5,1.4
26/08/17,Roma,Inter,A,2.3,3.5,3.0
27/08/17,Chievo,Lazio,A,3.5,3.2,2.2
27/08/17,Crotone,Verona,D,2.5,3.2,2.88
27/08/17,Fiorentina,Sampdoria,A,1.8,3.5,4.5
27/08/17,Milan,Cagliari,H,1.22,6.5,13.0
27/08/17,Napoli,Atalanta,H,1.4,4.75,8.0
27/08/17,Spal,Udinese,H,2.5,3.1,2.9
27/08/17,Torino,Sassuolo,H,1.75,3.6,5.0
09/09/17,Juventus,Chievo,H,1.17,7.5,17.0
10/09/17,Atalanta,Sassuolo,H,1.55,4.0,6.5
10/09/17,Benevento,Torino,A,4.33,3.75,1.83
10/09/17,Bologna,Napoli,A,10.0,5.0,1.33
10/09/17,Cagliari,Crotone,H,1.67,3.75,5.5
10/09/17,Inter,Spal,H,1.25,6.0,13.0
10/09/17,Lazio,Milan,H,2.45,3.4,2.9
10/09/17,Udinese,Genoa,H,2.38,3.2,3.2
10/09/17,Verona,Fiorentina,A,3.4,3.3,2.2
16/09/17,Crotone,Inter,A,10.0,5.0,1.33
16/09/17,Fiorentina,Bologna,H,1.55,4.2,6.0
16/09/17,Roma,Verona,H,1.17,7.5,17.0
17/09/17,Chievo,Atalanta,D,3.0,3.2,2.5
17/09/17,Genoa,Lazio,A,3.8,3.5,2.0
17/09/17,Milan,Udinese,H,1.4,4.6,8.5
17/09/17,Napoli,Benevento,H,1.11,10.0,19.0
17/09/17,Sassuolo,Juventus,A,7.5,4.33,1.45
17/09/17,Spal,Cagliari,A,2.38,3.3,3.1
17/09/17,Torino,Sampdoria,D,1.67,4.0,5.0
19/09/17,Bologna,Inter,D,5.75,4.0,1.6
20/09/17,Atalanta,Crotone,H,1.33,5.0,10.0
20/09/17,Benevento,Roma,A,8.0,5.25,1.36
20/09/17,Cagliari,Sassuolo,A,2.2,3.4,3.3
20/09/17,Genoa,Chievo,D,2.2,3.3,3.5
20/09/17,Juventus,Fiorentina,H,1.33,5.25,9.0
20/09/17,Lazio,Napoli,A,3.4,3.6,2.1
20/09/17,Milan,Spal,H,1.25,6.5,11.0
20/09/17,Udinese,Torino,A,2.88,3.5,2.4
20/09/17,Verona,Sampdoria,D,3.6,3.5,2.05
23/09/17,Juventus,Torino,H,1.4,4.5,8.5
23/09/17,Roma,Udinese,H,1.25,6.0,12.0
23/09/17,Spal,Napoli,A,15.0,6.0,1.22
24/09/17,Cagliari,Chievo,A,2.25,3.3,3.3
24/09/17,Crotone,Benevento,H,1.91,3.4,4.33
24/09/17,Fiorentina,Atalanta,D,2.2,3.4,3.2
24/09/17,Inter,Genoa,H,1.3,5.5,10.0
24/09/17,Sampdoria,Milan,H,3.5,3.75,2.0
24/09/17,Sassuolo,Bologna,A,2.1,3.3,3.75
24/09/17,Verona,Lazio,A,5.5,4.0,1.62
30/09/17,Genoa,Bologna,A,2.25,3.2,3.3
30/09/17,Udinese,Sampdoria,H,2.7,3.25,2.6
01/10/17,Atalanta,Juventus,D,4.75,3.75,1.7
01/10/17,Benevento,Inter,A,11.0,5.0,1.29
01/10/17,Chievo,Fiorentina,H,2.8,3.25,2.5
01/10/17,Lazio,Sassuolo,H,1.4,4.5,8.0
01/10/17,Milan,Roma,A,2.55,3.4,2.63
01/10/17,Napoli,Cagliari,H,1.13,8.0,21.0
01/10/17,Spal,Crotone,D,1.91,3.4,4.0
01/10/17,Torino,Verona,D,1.33,5.0,9.0
14/10/17,Juventus,Lazio,A,1.53,4.5,5.75
14/10/17,Roma,Napoli,A,3.2,3.4,2.25
15/10/17,Bologna,Spal,H,1.75,3.5,5.25
15/10/17,Cagliari,Genoa,A,2.25,3.3,3.3
15/10/17,Crotone,Torino,D,3.75,3.5,2.0
15/10/17,Fiorentina,Udinese,H,1.67,3.8,5.5
15/10/17,Inter,Milan,H,2.2,3.4,3.4
15/10/17,Sampdoria,Atalanta,H,2.8,3.3,2.6
15/10/17,Sassuolo,Chievo,D,2.25,3.3,3.3
16/10/17,Verona,Benevento,H,1.91,3.5,4.2
21/10/17,Napoli,Inter,D,1.61,4.2,5.0
21/10/17,Sampdoria,Crotone,H,1.53,3.79,7.5
22/10/17,Atalanta,Bologna,H,1.6,3.75,6.5
22/10/17,Benevento,Fiorentina,A,6.0,3.79,1.57
22/10/17,Chievo,Verona,H,1.9,3.39,4.33
22/10/17,Lazio,Cagliari,H,1.28,6.0,9.0
22/10/17,Milan,Genoa,D,1.44,4.33,8.0
22/10/17,Spal,Sassuolo,A,2.6,3.29,2.75
22/10/17,Torino,Roma,A,3.75,3.6,1.95
22/10/17,Udinese,Juventus,A,7.5,4.5,1.44
24/10/17,Inter,Sampdoria,H,1.44,4.75,7.0
25/10/17,Atalanta,Verona,H,1.36,5.0,8.5
25/10/17,Bologna,Lazio,A,5.25,3.75,1.7
25/10/17,Cagliari,Benevento,H,1.44,4.5,7.5
25/10/17,Chievo,Milan,A,3.6,3.25,2.14
25/10/17,Fiorentina,Torino,H,1.85,3.79,4.0
25/10/17,Genoa,Napoli,A,9.0,5.25,1.33
25/10/17,Juventus,Spal,H,1.12,9.0,21.0
25/10/17,Roma,Crotone,H,1.16,8.0,15.0
25/10/17,Sassuolo,Udinese,A,2.0,3.5,3.75
28/10/17,Milan,Juventus,A,4.2,3.5,1.9
28/10/17,Roma,Bologna,H,1.28,5.75,10.0
29/10/17,Benevento,Lazio,A,11.0,5.5,1.28
29/10/17,Crotone,Fiorentina,H,5.5,3.75,1.64
29/10/17,Napoli,Sassuolo,H,1.14,9.0,15.0
29/10/17,Sampdoria,Chievo,H,1.83,3.6,4.5
29/10/17,Spal,Genoa,H,3.1,3.1,2.5
29/10/17,Torino,Cagliari,H,1.6,4.33,5.25
29/10/17,Udinese,Atalanta,H,3.6,3.39,2.1
30/10/17,Verona,Inter,A,7.5,5.0,1.39
04/11/17,Bologna,Crotone,A,1.8,3.5,4.75
04/11/17,Genoa,Sampdoria,A,3.0,3.1,2.54
05/11/17,Atalanta,Spal,D,1.3,5.25,10.0
05/11/17,Cagliari,Verona,H,1.9,3.29,4.5
05/11/17,Chievo,Napoli,D,7.5,5.0,1.39
05/11/17,Fiorentina,Roma,A,3.0,3.5,2.29
05/11/17,Inter,Torino,D,1.5,4.33,6.5
05/11/17,Juventus,Benevento,H,1.06,13.0,34.0
05/11/17,Sassuolo,Milan,A,3.75,3.39,2.04
18/11/17,Napoli,Milan,H,1.44,4.59,7.0
18/11/17,Roma,Lazio,H,2.1,3.5,3.39
19/11/17,Benevento,Sassuolo,A,3.39,3.6,2.04
19/11/17,Crotone,Genoa,A,3.1,3.2,2.45
19/11/17,Inter,Atalanta,H,1.75,3.75,4.75
19/11/17,Sampdoria,Juventus,H,7.0,4.0,1.53
19/11/17,Spal,Fiorentina,D,3.79,3.6,1.95
19/11/17,Torino,Chievo,D,1.83,3.6,4.5
19/11/17,Udinese,Cagliari,A,1.95,3.6,3.79
20/11/17,Verona,Bologna,A,2.87,3.2,2.6
25/11/17,Bologna,Sampdoria,H,2.6,3.29,2.75
25/11/17,Cagliari,Inter,A,5.0,4.0,1.66
25/11/17,Chievo,Spal,H,1.9,3.5,4.2
