Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
19/08/2023,Empoli,Verona,A,2.25,3.2,3.3
19/08/2023,Frosinone,Napoli,A,8.5,5.0,1.36
19/08/2023,Genoa,Fiorentina,A,3.4,3.25,2.2
19/08/2023,Inter,Monza,H,1.4,5.0,7.0
20/08/2023,Roma,Salernitana,D,1.53,4.0,6.5
20/08/2023,Sassuolo,Atalanta,A,3.5,3.4,2.1
20/08/2023,Lecce,Lazio,H,3.6,3.3,2.1
20/08/2023,Udinese,Juventus,A,4.33,3.6,1.83
21/08/2023,Torino,Cagliari,D,1.67,3.75,5.25
21/08/2023,Bologna,Milan,A,4.0,3.4,1.95
26/08/2023,Frosinone,Atalanta,H,5.0,4.0,1.67
26/08/2023,Monza,Empoli,H,1.91,3.5,4.2
26/08/2023,Milan,Torino,H,1.65,3.8,5.0
26/08/2023,Verona,Roma,H,4.33,3.5,1.83
27/08/2023,Fiorentina,Lecce,D,1.57,4.2,5.75
27/08/2023,Juventus,Bologna,D,1.5,4.5,6.0
27/08/2023,Lazio,Genoa,A,1.55,4.0,6.0
27/08/2023,Napoli,Sassuolo,H,1.33,5.5,8.5
28/08/2023,Salernitana,Udinese,D,2.7,3.2,2.63
28/08/2023,Cagliari,Inter,A,7.5,4.5,1.44
01/09/2023,Sassuolo,Verona,H,2.0,3.6,3.75
01/09/2023,Roma,Milan,A,2.8,3.1,2.63
02/09/2023,Bologna,Cagliari,H,1.7,3.75,5.0
02/09/2023,Udinese,Frosinone,D,1.8,3.6,4.5
02/09/2023,Atalanta,Monza,H,1.62,4.0,5.25
02/09/2023,Napoli,Lazio,A,1.62,4.0,5.5
03/09/2023,Inter,Fiorentina,H,1.65,3.8,5.25
03/09/2023,Torino,Genoa,H,2.0,3.3,4.0
03/09/2023,Empoli,Juventus,A,5.25,3.8,1.67
03/09/2023,Lecce,Salernitana,H,2.0,3.3,4.0
16/09/2023,Juventus,Lazio,H,1.91,3.4,4.33
16/09/2023,Inter,Milan,H,2.15,3.5,3.4
16/09/2023,Genoa,Napoli,D,5.5,3.8,1.67
17/09/2023,Cagliari,Udinese,D,2.88,3.3,2.5
17/09/2023,Frosinone,Sassuolo,H,2.8,3.4,2.5
