Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
22/08/09,Bologna,Fiorentina,D,3.3,3.25,2.2
22/08/09,Siena,Milan,A,3.75,3.25,2.05
23/08/09,Catania,Sampdoria,A,2.5,3.2,2.88
23/08/09,Genoa,Roma,H,2.4,3.2,3.0
23/08/09,Inter,Bari,D,1.2,6.0,15.0
23/08/09,Juventus,Chievo,H,1.29,5.25,11.0
23/08/09,Lazio,Atalanta,H,1.83,3.4,4.5
23/08/09,Livorno,Cagliari,D,2.38,3.1,3.2
23/08/09,Palermo,Napoli,H,2.15,3.25,3.5
23/08/09,Udinese,Parma,D,1.8,3.4,4.75
29/08/09,Bari,Bologna,D,2.2,3.1,3.5
29/08/09,Milan,Inter,A,3.0,3.0,2.5
30/08/09,Atalanta,Genoa,A,2.4,3.0,3.2
30/08/09,Cagliari,Siena,A,2.0,3.2,4.0
30/08/09,Chievo,Lazio,A,3.0,3.0,2.5
30/08/09,Fiorentina,Palermo,H,1.8,3.4,4.75
30/08/09,Napoli,Livorno,H,1.5,4.0,7.5
30/08/09,Parma,Catania,H,1.95,3.2,4.2
30/08/09,Roma,Juventus,A,3.1,3.1,2.38
30/08/09,Sampdoria,Udinese,H,2.1,3.2,3.6
12/09/09,Lazio,Juventus,A,4.0,3.2,2.0
12/09/09,Livorno,Milan,D,4.75,3.3,1.83
13/09/09,Atalanta,Sampdoria,A,2.38,3.1,3.1
13/09/09,Bologna,Chievo,A,2.4,3.0,3.2
13/09/09,Fiorentina,Cagliari,H,1.6,3.6,6.25
13/09/09,Genoa,Napoli,H,2.05,3.2,3.8
13/09/09,Inter,Parma,H,1.3,5.0,11.0
13/09/09,Palermo,Bari,D,1.62,3.6,6.0
13/09/09,Siena,Roma,A,4.0,3.2,2.0
13/09/09,Udinese,Catania,H,1.67,3.5,5.5
19/09/09,Juventus,Livorno,H,1.3,5.0,11.0
19/09/09,Napoli,Udinese,D,2.0,3.3,3.75
20/09/09,Bari,Atalanta,H,2.5,3.1,2.9
20/09/09,Cagliari,Inter,A,6.0,3.6,1.62
20/09/09,Catania,Lazio,D,2.9,3.1,2.5
20/09/09,Chievo,Genoa,H,2.9,3.1,2.5
20/09/09,Milan,Bologna,H,1.33,4.75,10.0
20/09/09,Parma,Palermo,H,2.38,3.1,3.1
20/09/09,Roma,Fiorentina,H,1.95,3.4,3.8
20/09/09,Sampdoria,Siena,H,1.67,3.4,6.0
23/09/09,Atalanta,Catania,D,1.8,3.4,4.75
23/09/09,Bari,Cagliari,A,2.1,3.1,3.75
23/09/09,Bologna,Livorno,H,2.15,3.1,3.6
23/09/09,Fiorentina,Sampdoria,H,2.1,3.1,3.75
23/09/09,Inter,Napoli,H,1.4,4.2,8.5
23/09/09,Lazio,Parma,A,1.91,3.2,4.33
23/09/09,Palermo,Roma,D,2.8,3.25,2.55
23/09/09,Siena,Chievo,D,2.4,3.1,3.1
23/09/09,Udinese,Milan,H,3.25,3.1,2.3
24/09/09,Genoa,Juventus,D,3.4,3.2,2.2
26/09/09,Livorno,Fiorentina,A,3.75,3.1,2.1
26/09/09,Sampdoria,Inter,H,3.8,3.3,2.0
27/09/09,Catania,Roma,D,4.33,3.25,1.91
27/09/09,Chievo,Atalanta,D,2.2,3.2,3.4
27/09/09,Juventus,Bologna,D,1.22,6.0,13.0
27/09/09,Lazio,Palermo,D,2.1,3.2,3.6
27/09/09,Milan,Bari,D,1.33,4.5,11.0
27/09/09,Napoli,Siena,H,1.67,3.4,6.0
27/09/09,Parma,Cagliari,A,1.91,3.2,4.33
27/09/09,Udinese,Genoa,H,2.25,3.2,3.3
03/10/09,Bari,Catania,D,2.05,3.2,3.8
03/10/09,Inter,Udinese,H,1.44,4.2,7.5
04/10/09,Atalanta,Milan,D,3.5,3.0,2.25
04/10/09,Bologna,Genoa,A,3.0,3.2,2.4
04/10/09,Cagliari,Chievo,A,2.1,3.1,3.75
04/10/09,Fiorentina,Lazio,D,1.85,3.3,4.5
04/10/09,Palermo,Juventus,H,3.8,3.3,2.0
04/10/09,Roma,Napoli,H,1.7,3.4,5.5
04/10/09,Sampdoria,Parma,D,1.65,3.6,5.5
04/10/09,Siena,Livorno,D,2.0,3.2,4.0
17/10/09,Genoa,Inter,A,3.25,3.2,2.25
17/10/09,Juventus,Fiorentina,D,1.73,3.4,5.25
18/10/09,Catania,Cagliari,H,2.4,3.1,3.1
18/10/09,Chievo,Bari,A,2.0,3.1,4.1
18/10/09,Lazio,Sampdoria,D,2.4,3.1,3.1
18/10/09,Livorno,Palermo,A,3.1,3.1,2.4
18/10/09,Milan,Roma,H,2.1,3.3,3.5
18/10/09,Napoli,Bologna,H,1.55,3.75,6.5
18/10/09,Parma,Siena,H,1.95,3.2,4.2
18/10/09,Udinese,Atalanta,A,1.67,3.5,5.5
24/10/09,Inter,Catania,H,1.22,5.5,15.0
24/10/09,Sampdoria,Bologna,H,1.53,3.75,7.0
25/10/09,Atalanta,Parma,H,2.1,3.1,3.75
25/10/09,Bari,Lazio,H,2.63,3.0,2.88
25/10/09,Cagliari,Genoa,H,2.75,3.0,2.75
25/10/09,Chievo,Milan,A,4.0,3.1,2.0
25/10/09,Fiorentina,Napoli,A,1.75,3.4,5.0
25/10/09,Palermo,Udinese,H,2.1,3.1,3.75
25/10/09,Roma,Livorno,A,1.33,4.75,10.0
25/10/09,Siena,Juventus,A,7.0,3.5,1.57
28/10/09,Bologna,Siena,H,2.3,3.1,3.3
28/10/09,Catania,Chievo,A,2.25,3.1,3.4
28/10/09,Genoa,Fiorentina,H,2.4,3.2,3.0
28/10/09,Juventus,Sampdoria,H,1.75,3.4,5.0
28/10/09,Lazio,Cagliari,A,1.8,3.4,4.75
28/10/09,Livorno,Atalanta,H,2.4,3.1,3.1
28/10/09,Napoli,Milan,D,2.88,3.2,2.5
28/10/09,Parma,Bari,H,2.1,3.2,3.6
28/10/09,Udinese,Roma,H,2.5,3.2,2.88
29/10/09,Inter,Palermo,H,1.44,4.0,8.0
31/10/09,Juventus,Napoli,A,1.53,3.75,7.0
31/10/09,Milan,Parma,H,1.53,3.8,6.5
01/11/09,Cagliari,Atalanta,H,2.1,3.1,3.8
01/11/09,Chievo,Udinese,D,2.5,3.1,2.9
01/11/09,Fiorentina,Catania,H,1.44,4.0,8.0
01/11/09,Livorno,Inter,A,6.0,3.8,1.57
01/11/09,Palermo,Genoa,D,2.05,3.1,4.0
01/11/09,Roma,Bologna,H,1.67,3.5,5.5
01/11/09,Sampdoria,Bari,D,1.67,3.5,5.5
01/11/09,Siena,Lazio,D,2.75,3.1,2.63
07/11/09,Atalanta,Juventus,A,4.33,3.4,1.85
07/11/09,Catania,Napoli,D,3.4,3.1,2.25
08/11/09,Bari,Livorno,H,1.85,3.3,4.5
08/11/09,Bologna,Palermo,H,2.7,3.1,2.7
