Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
19/09/2020,Fiorentina,Torino,H,1.83,3.75,4.2
19/09/2020,Verona,Roma,D,3.75,3.5,1.95
20/09/2020,Parma,Napoli,A,5.25,4.2,1.61
20/09/2020,Genoa,Crotone,H,1.9,3.6,4.0
20/09/2020,Sassuolo,Cagliari,D,1.95,3.75,3.75
20/09/2020,Juventus,Sampdoria,H,1.28,5.5,10.5
21/09/2020,Milan,Bologna,H,1.57,4.33,5.5
26/09/2020,Torino,Atalanta,A,4.75,4.4,1.61
26/09/2020,Cagliari,Lazio,A,5.0,4.0,1.66
26/09/2020,Sampdoria,Benevento,A,2.0,3.6,3.6
26/09/2020,Inter,Fiorentina,H,1.5,4.5,6.0
27/09/2020,Spezia,Sassuolo,A,4.75,4.0,1.66
27/09/2020,Napoli,Genoa,H,1.3,5.5,10.0
27/09/2020,Verona,Udinese,H,2.7,3.0,2.8
27/09/2020,Crotone,Milan,A,6.0,4.5,1.5
27/09/2020,Roma,Juventus,D,3.6,3.6,2.0
28/09/2020,Bologna,Parma,H,1.95,3.6,3.6
30/09/2020,Benevento,Inter,A,9.0,4.75,1.36
30/09/2020,Udinese,Spezia,A,1.6,3.75,5.75
30/09/2020,Lazio,Atalanta,A,2.55,3.5,2.55
02/10/2020,Fiorentina,Sampdoria,A,1.61,4.0,5.25
03/10/2020,Sassuolo,Crotone,H,1.4,5.0,7.0
03/10/2020,Udinese,Roma,A,5.0,4.0,1.66
04/10/2020,Atalanta,Cagliari,H,1.25,6.5,10.0
04/10/2020,Benevento,Bologna,H,3.1,3.6,2.2
04/10/2020,Lazio,Inter,D,3.1,3.7,2.2
04/10/2020,Parma,Verona,H,2.87,3.1,2.62
04/10/2020,Milan,Spezia,H,1.28,5.5,11.0
17/10/2020,Napoli,Atalanta,H,2.5,3.8,2.55
17/10/2020,Inter,Milan,A,2.3,3.5,3.0
17/10/2020,Sampdoria,Lazio,H,3.3,3.5,2.15
17/10/2020,Crotone,Juventus,D,6.5,4.5,1.45
18/10/2020,Bologna,Sassuolo,A,2.9,3.6,2.3
18/10/2020,Spezia,Fiorentina,D,5.25,4.0,1.61
18/10/2020,Torino,Cagliari,A,2.1,3.5,3.4
18/10/2020,Udinese,Parma,H,1.84,3.49,4.42
18/10/2020,Roma,Benevento,H,1.33,5.5,8.5
19/10/2020,Verona,Genoa,D,2.05,3.4,3.75
23/10/2020,Sassuolo,Torino,D,1.66,4.33,4.5
24/10/2020,Atalanta,Sampdoria,A,1.4,5.5,6.5
24/10/2020,Genoa,Inter,A,7.5,4.5,1.4
24/10/2020,Lazio,Bologna,H,1.65,4.0,4.75
25/10/2020,Cagliari,Crotone,H,2.0,3.6,3.6
25/10/2020,Benevento,Napoli,A,8.0,6.0,1.3
25/10/2020,Parma,Spezia,D,2.05,3.5,3.5
25/10/2020,Fiorentina,Udinese,H,1.72,3.6,4.75
25/10/2020,Juventus,Verona,D,1.33,5.0,8.5
26/10/2020,Milan,Roma,D,2.05,3.6,3.3
31/10/2020,Crotone,Atalanta,A,6.5,4.75,1.44
31/10/2020,Inter,Parma,D,1.33,5.5,8.0
31/10/2020,Bologna,Cagliari,H,1.85,4.2,3.6
01/11/2020,Udinese,Milan,A,4.5,3.9,1.72
01/11/2020,Spezia,Juventus,A,9.0,5.25,1.33
01/11/2020,Torino,Lazio,A,3.6,3.8,1.9
01/11/2020,Napoli,Sassuolo,A,1.53,4.6,5.5
01/11/2020,Roma,Fiorentina,H,1.75,3.8,4.2
01/11/2020,Sampdoria,Genoa,D,1.9,3.6,4.0
02/11/2020,Verona,Benevento,H,2.05,3.5,3.6
04/11/2020,Genoa,Torino,A,2.35,3.5,2.8
06/11/2020,Sassuolo,Udinese,D,2.15,3.8,3.1
07/11/2020,Cagliari,Sampdoria,H,2.75,3.5,2.4
07/11/2020,Benevento,Spezia,A,1.9,3.6,3.75
07/11/2020,Parma,Fiorentina,D,3.4,3.6,2.0
08/11/2020,Lazio,Juventus,D,3.5,3.75,1.95
08/11/2020,Atalanta,Inter,D,2.6,3.9,2.35
08/11/2020,Genoa,Roma,A,5.75,4.2,1.53
08/11/2020,Torino,Crotone,D,1.95,3.75,3.6
08/11/2020,Bologna,Napoli,A,4.75,4.2,1.65
08/11/2020,Milan,Verona,D,1.45,4.5,6.5
21/11/2020,Crotone,Lazio,A,4.75,4.0,1.66
21/11/2020,Spezia,Atalanta,D,6.5,5.25,1.4
21/11/2020,Juventus,Cagliari,H,1.28,5.5,10.0
22/11/2020,Fiorentina,Benevento,A,1.5,4.75,5.5
22/11/2020,Inter,Torino,H,1.33,5.75,8.0
22/11/2020,Roma,Parma,H,1.5,4.75,5.75
22/11/2020,Sampdoria,Bologna,A,2.5,3.5,2.7
22/11/2020,Verona,Sassuolo,A,3.2,3.8,2.1
22/11/2020,Udinese,Genoa,H,1.8,3.75,4.33
22/11/2020,Napoli,Milan,A,2.3,3.5,3.0
28/11/2020,Sassuolo,Inter,A,4.33,4.1,1.72
28/11/2020,Benevento,Juventus,D,7.5,4.75,1.4
28/11/2020,Atalanta,Verona,A,1.36,5.25,7.5
29/11/2020,Lazio,Udinese,A,1.66,4.0,4.75
29/11/2020,Bologna,Crotone,H,1.66,4.0,4.75
29/11/2020,Milan,Fiorentina,H,1.7,3.8,5.0
29/11/2020,Cagliari,Spezia,D,2.15,3.4,3.4
29/11/2020,Napoli,Roma,H,2.1,3.8,3.1
30/11/2020,Torino,Sampdoria,D,2.5,3.5,2.75
30/11/2020,Genoa,Parma,A,2.62,3.5,2.62
05/12/2020,Spezia,Lazio,A,5.0,3.9,1.66
05/12/2020,Juventus,Torino,H,1.4,5.0,7.0
05/12/2020,Inter,Bologna,H,1.45,4.75,6.5
06/12/2020,Verona,Cagliari,D,1.95,3.6,3.75
06/12/2020,Parma,Benevento,D,2.1,3.6,3.4
06/12/2020,Roma,Sassuolo,D,1.66,4.33,4.5
06/12/2020,Crotone,Napoli,A,7.5,5.25,1.36
06/12/2020,Sampdoria,Milan,A,4.5,4.0,1.72
07/12/2020,Fiorentina,Genoa,D,1.72,4.0,4.5
11/12/2020,Sassuolo,Benevento,H,1.65,4.2,4.75
12/12/2020,Crotone,Spezia,H,2.5,3.5,2.7
12/12/2020,Torino,Udinese,A,2.9,3.25,2.5
12/12/2020,Lazio,Verona,A,1.65,4.0,5.0
13/12/2020,Cagliari,Inter,A,7.5,5.25,1.36
13/12/2020,Atalanta,Fiorentina,H,1.66,4.33,4.5
13/12/2020,Bologna,Roma,A,3.5,3.8,2.0
13/12/2020,Napoli,Sampdoria,H,1.4,5.0,7.5
13/12/2020,Genoa,Juventus,A,9.0,5.25,1.33
13/12/2020,Milan,Parma,D,1.3,5.75,9.0
15/12/2020,Udinese,Crotone,D,1.6,3.9,5.75
15/12/2020,Benevento,Lazio,D,4.5,3.8,1.75
16/12/2020,Juventus,Atalanta,D,1.85,3.9,3.9
16/12/2020,Fiorentina,Sassuolo,D,2.4,3.5,2.87
16/12/2020,Genoa,Milan,D,7.5,4.75,1.4
16/12/2020,Inter,Napoli,H,2.2,3.5,3.2
16/12/2020,Parma,Cagliari,D,2.3,3.4,3.1
16/12/2020,Spezia,Bologna,D,3.1,3.5,2.2
16/12/2020,Verona,Sampdoria,A,2.15,3.5,3.2
17/12/2020,Roma,Torino,H,1.4,5.0,6.5
19/12/2020,Fiorentina,Verona,D,2.1,3.5,3.4
19/12/2020,Sampdoria,Crotone,H,1.83,3.7,4.33
19/12/2020,Parma,Juventus,A,8.5,5.25,1.33
20/12/2020,Torino,Bologna,D,2.6,3.5,2.6
20/12/2020,Benevento,Genoa,H,2.3,3.4,3.1
20/12/2020,Cagliari,Udinese,D,3.0,3.4,2.37
20/12/2020,Inter,Spezia,H,1.22,6.5,12.0
20/12/2020,Sassuolo,Milan,A,3.6,4.0,1.9
20/12/2020,Atalanta,Roma,H,2.25,3.75,2.9
20/12/2020,Lazio,Napoli,H,2.87,3.4,2.45
22/12/2020,Crotone,Parma,H,2.62,3.4,2.62
22/12/2020,Juventus,Fiorentina,A,1.3,5.5,9.0
23/12/2020,Verona,Inter,A,6.0,4.0,1.57
23/12/2020,Bologna,Atalanta,D,5.0,4.2,1.61
23/12/2020,Milan,Lazio,H,2.2,3.75,3.0
23/12/2020,Napoli,Torino,D,1.36,5.25,8.0
23/12/2020,Roma,Cagliari,H,1.28,5.75,10.0
23/12/2020,Sampdoria,Sassuolo,A,2.6,3.6,2.6
23/12/2020,Spezia,Genoa,A,2.15,3.5,3.3
23/12/2020,Udinese,Benevento,A,1.85,3.4,4.5
03/01/2021,Inter,Crotone,H,1.2,7.0,12.0
03/01/2021,Atalanta,Sassuolo,H,1.5,4.5,5.5
03/01/2021,Cagliari,Napoli,A,7.0,4.33,1.45
03/01/2021,Fiorentina,Bologna,D,2.1,3.4,3.4
03/01/2021,Genoa,Lazio,D,5.25,4.0,1.61
03/01/2021,Parma,Torino,A,2.75,3.2,2.6
03/01/2021,Roma,Sampdoria,H,1.45,4.75,6.0
03/01/2021,Spezia,Verona,A,2.9,3.4,2.37
03/01/2021,Benevento,Milan,A,5.25,4.2,1.57
03/01/2021,Juventus,Udinese,H,1.4,4.5,7.5
06/01/2021,Cagliari,Benevento,A,2.4,3.4,2.87
06/01/2021,Atalanta,Parma,H,1.25,6.5,10.0
06/01/2021,Bologna,Udinese,D,2.6,3.3,2.62
06/01/2021,Crotone,Roma,A,7.0,5.0,1.4
06/01/2021,Lazio,Fiorentina,H,1.72,3.8,4.2
06/01/2021,Sampdoria,Inter,H,6.0,4.2,1.5
06/01/2021,Sassuolo,Genoa,H,1.75,3.6,4.75
06/01/2021,Torino,Verona,D,2.5,3.3,2.75
06/01/2021,Napoli,Spezia,A,1.2,7.0,15.0
06/01/2021,Milan,Juventus,A,3.1,3.4,2.25
09/01/2021,Benevento,Atalanta,A,7.0,4.75,1.4
09/01/2021,Genoa,Bologna,H,3.0,3.4,2.35
09/01/2021,Milan,Torino,H,1.61,3.9,5.5
10/01/2021,Roma,Inter,D,2.87,3.6,2.37
10/01/2021,Parma,Lazio,A,5.5,4.2,1.57
10/01/2021,Udinese,Napoli,A,4.0,3.8,1.85
10/01/2021,Verona,Crotone,H,1.75,3.75,4.6
10/01/2021,Fiorentina,Cagliari,H,1.75,3.9,4.33
10/01/2021,Juventus,Sassuolo,H,1.3,5.5,9.5
11/01/2021,Spezia,Sampdoria,H,3.1,3.4,2.3
15/01/2021,Lazio,Roma,H,2.8,3.6,2.37
16/01/2021,Bologna,Verona,H,2.3,3.3,3.1
16/01/2021,Torino,Spezia,D,2.0,3.5,3.75
16/01/2021,Sampdoria,Udinese,H,2.9,3.3,2.5
17/01/2021,Napoli,Fiorentina,H,1.53,4.33,5.75
17/01/2021,Crotone,Benevento,H,2.75,3.5,2.4
17/01/2021,Sassuolo,Parma,D,1.66,4.3,4.5
17/01/2021,Atalanta,Genoa,D,1.2,7.0,13.0
17/01/2021,Inter,Juventus,H,2.4,3.5,2.8
18/01/2021,Cagliari,Milan,A,5.75,4.75,1.5
20/01/2021,Udinese,Atalanta,D,4.33,3.9,1.75
22/01/2021,Benevento,Torino,D,2.8,3.2,2.6
23/01/2021,Roma,Spezia,H,1.44,5.0,6.2
23/01/2021,Milan,Atalanta,A,2.62,3.8,2.45
23/01/2021,Udinese,Inter,D,6.0,4.0,1.57
23/01/2021,Fiorentina,Crotone,H,1.61,4.0,5.25
24/01/2021,Juventus,Bologna,H,1.4,5.0,7.0
24/01/2021,Genoa,Cagliari,H,2.25,3.5,3.1
24/01/2021,Verona,Napoli,H,5.0,3.9,1.66
24/01/2021,Lazio,Sassuolo,H,1.7,4.0,4.75
24/01/2021,Parma,Sampdoria,A,3.0,3.4,2.4
29/01/2021,Torino,Fiorentina,D,2.7,3.25,2.62
30/01/2021,Bologna,Milan,A,4.0,3.8,1.85
30/01/2021,Sampdoria,Juventus,A,7.0,4.5,1.45
30/01/2021,Inter,Benevento,H,1.22,6.5,12.0
31/01/2021,Spezia,Udinese,A,3.75,3.2,2.1
31/01/2021,Atalanta,Lazio,A,1.7,4.2,4.33
31/01/2021,Cagliari,Sassuolo,D,3.0,3.5,2.3
31/01/2021,Crotone,Genoa,A,2.9,3.3,2.45
31/01/2021,Napoli,Parma,H,1.3,5.5,10.0
31/01/2021,Roma,Verona,H,1.65,3.9,5.25
05/02/2021,Fiorentina,Inter,A,6.5,4.2,1.5
06/02/2021,Atalanta,Torino,D,1.4,5.0,7.0
06/02/2021,Sassuolo,Spezia,A,1.8,3.8,4.33
06/02/2021,Juventus,Roma,H,1.72,4.0,4.33
06/02/2021,Genoa,Napoli,H,5.0,3.9,1.66
07/02/2021,Benevento,Sampdoria,D,3.0,3.25,2.4
07/02/2021,Milan,Crotone,H,1.22,6.5,13.0
07/02/2021,Udinese,Verona,H,2.3,3.1,3.3
07/02/2021,Parma,Bologna,A,3.2,3.3,2.3
07/02/2021,Lazio,Cagliari,H,1.36,5.0,8.0
12/02/2021,Bologna,Benevento,D,1.8,3.6,4.33
13/02/2021,Torino,Genoa,D,1.9,3.4,4.2
13/02/2021,Napoli,Juventus,H,3.8,3.6,1.95
13/02/2021,Spezia,Milan,H,6.75,4.6,1.45
14/02/2021,Roma,Udinese,H,1.72,3.8,4.75
14/02/2021,Cagliari,Atalanta,A,6.5,4.75,1.44
14/02/2021,Sampdoria,Fiorentina,H,2.87,3.4,2.45
14/02/2021,Crotone,Sassuolo,A,3.7,3.8,1.9
14/02/2021,Inter,Lazio,H,1.75,3.9,4.5
15/02/2021,Verona,Parma,H,2.0,3.3,4.0
19/02/2021,Fiorentina,Spezia,H,2.0,3.4,3.8
19/02/2021,Cagliari,Torino,A,2.87,3.3,2.45
20/02/2021,Lazio,Sampdoria,H,1.61,4.2,5.0
20/02/2021,Genoa,Verona,D,2.7,3.1,2.8
20/02/2021,Sassuolo,Bologna,D,2.3,3.4,3.1
21/02/2021,Parma,Udinese,D,3.6,3.3,2.1
21/02/2021,Milan,Inter,A,3.6,3.6,2.0
21/02/2021,Atalanta,Napoli,H,1.83,3.8,4.0
21/02/2021,Benevento,Roma,D,5.5,4.5,1.53
22/02/2021,Juventus,Crotone,H,1.16,8.0,15.0
27/02/2021,Spezia,Parma,D,2.37,3.2,3.2
27/02/2021,Bologna,Lazio,H,3.5,3.6,2.05
27/02/2021,Verona,Juventus,D,6.0,4.2,1.53
28/02/2021,Sampdoria,Atalanta,A,5.0,4.0,1.61
28/02/2021,Crotone,Cagliari,A,3.3,3.6,2.1
28/02/2021,Inter,Genoa,H,1.18,7.0,15.0
28/02/2021,Udinese,Fiorentina,H,2.37,3.25,3.1
28/02/2021,Napoli,Benevento,H,1.4,4.75,7.5
28/02/2021,Roma,Milan,A,2.25,3.5,3.1
02/03/2021,Juventus,Spezia,H,1.25,6.0,12.0
03/03/2021,Sassuolo,Napoli,D,3.6,3.5,2.05
03/03/2021,Atalanta,Crotone,H,1.16,7.5,15.0
03/03/2021,Benevento,Verona,A,3.25,3.3,2.3
03/03/2021,Cagliari,Bologna,H,2.5,3.25,2.87
03/03/2021,Fiorentina,Roma,A,3.6,3.5,2.0
03/03/2021,Genoa,Sampdoria,D,3.0,3.2,2.45
03/03/2021,Milan,Udinese,D,1.8,3.6,4.5
04/03/2021,Parma,Inter,A,11.0,6.0,1.25
06/03/2021,Spezia,Benevento,D,2.1,3.5,3.4
06/03/2021,Udinese,Sassuolo,H,2.4,3.3,2.9
06/03/2021,Juventus,Lazio,H,1.85,3.75,4.0
07/03/2021,Roma,Genoa,H,1.5,4.2,6.5
07/03/2021,Crotone,Torino,H,3.6,3.4,2.05
07/03/2021,Fiorentina,Parma,D,1.9,3.5,4.1
07/03/2021,Verona,Milan,A,3.6,3.3,2.1
07/03/2021,Sampdoria,Cagliari,D,2.35,3.4,3.0
07/03/2021,Napoli,Bologna,H,1.53,4.2,6.0
08/03/2021,Inter,Atalanta,H,2.05,3.6,3.4
12/03/2021,Lazio,Crotone,H,1.25,6.5,10.0
12/03/2021,Atalanta,Spezia,H,1.28,5.75,9.5
13/03/2021,Sassuolo,Verona,H,2.37,3.25,3.1
13/03/2021,Benevento,Fiorentina,A,3.4,3.25,2.2
13/03/2021,Genoa,Udinese,D,3.2,3.0,2.45
14/03/2021,Bologna,Sampdoria,H,2.25,3.4,3.2
14/03/2021,Parma,Roma,H,5.5,3.75,1.65
14/03/2021,Torino,Inter,A,8.0,5.0,1.36
