Team,Points
Juventus,83
Inter,82
Atalanta,78
Lazio,78
Roma,70
Milan,66
Napoli,62
Sassuolo,51
Parma,49
Verona,49
Fiorentina,49
Bologna,47
Cagliari,45
Udinese,45
Sampdoria,42
Torino,40
Genoa,39
Lecce,35
Brescia,25
Spal,20
