Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
22/08/15,Lazio,Bologna,H,1.5,4.2,7.0
22/08/15,Verona,Roma,D,5.5,3.75,1.67
23/08/15,Empoli,Chievo,A,2.15,3.25,3.6
23/08/15,Fiorentina,Milan,H,2.15,3.4,3.5
23/08/15,Frosinone,Torino,A,3.5,3.25,2.2
23/08/15,Inter,Atalanta,H,1.45,4.33,7.5
23/08/15,Juventus,Udinese,A,1.29,5.5,11.0
23/08/15,Palermo,Genoa,H,2.2,3.4,3.3
23/08/15,Sampdoria,Carpi,H,1.8,3.5,4.75
23/08/15,Sassuolo,Napoli,H,4.33,3.75,1.8
29/08/15,Bologna,Sassuolo,A,2.25,3.3,3.3
29/08/15,Milan,Empoli,H,1.5,4.2,7.0
30/08/15,Atalanta,Frosinone,H,1.75,3.5,5.25
30/08/15,Carpi,Inter,A,4.5,3.5,1.85
30/08/15,Chievo,Lazio,H,3.4,3.3,2.2
30/08/15,Genoa,Verona,H,2.0,3.5,3.8
30/08/15,Napoli,Sampdoria,D,1.44,4.5,7.5
30/08/15,Roma,Juventus,H,2.6,3.2,2.8
30/08/15,Torino,Fiorentina,H,2.5,3.2,3.0
30/08/15,Udinese,Palermo,A,2.15,3.3,3.6
12/09/15,Fiorentina,Genoa,H,1.67,3.75,5.5
12/09/15,Frosinone,Roma,A,9.5,4.75,1.36
12/09/15,Juventus,Chievo,D,1.4,4.5,9.0
13/09/15,Empoli,Napoli,D,5.0,3.6,1.75
13/09/15,Inter,Milan,H,2.2,3.3,3.4
13/09/15,Lazio,Udinese,H,1.62,3.75,6.0
13/09/15,Palermo,Carpi,D,1.53,4.0,7.0
13/09/15,Sassuolo,Atalanta,D,2.2,3.3,3.4
13/09/15,Verona,Torino,D,3.2,3.3,2.3
14/09/15,Sampdoria,Bologna,H,1.83,3.6,4.5
19/09/15,Milan,Palermo,H,1.73,3.75,5.0
19/09/15,Udinese,Empoli,A,2.25,3.3,3.3
20/09/15,Atalanta,Verona,D,2.0,3.5,3.75
20/09/15,Bologna,Frosinone,H,1.95,3.4,4.0
20/09/15,Carpi,Fiorentina,A,4.33,3.4,1.91
20/09/15,Chievo,Inter,A,3.75,3.3,2.1
20/09/15,Genoa,Juventus,A,4.5,3.5,1.83
20/09/15,Napoli,Lazio,H,1.91,3.6,4.0
20/09/15,Roma,Sassuolo,D,1.4,4.5,8.5
20/09/15,Torino,Sampdoria,H,1.83,3.6,4.33
22/09/15,Udinese,Milan,A,3.3,3.3,2.25
23/09/15,Carpi,Napoli,D,6.5,4.0,1.55
23/09/15,Chievo,Torino,H,2.8,3.25,2.6
23/09/15,Fiorentina,Bologna,H,1.5,4.0,7.5
23/09/15,Inter,Verona,H,1.33,5.0,10.0
23/09/15,Juventus,Frosinone,D,1.17,7.0,19.0
23/09/15,Lazio,Genoa,H,1.75,3.75,4.75
23/09/15,Palermo,Sassuolo,A,2.15,3.4,3.4
23/09/15,Sampdoria,Roma,H,4.5,3.6,1.83
24/09/15,Empoli,Atalanta,A,2.15,3.3,3.5
26/09/15,Napoli,Juventus,H,2.2,3.3,3.4
26/09/15,Roma,Carpi,H,1.25,6.0,12.0
27/09/15,Bologna,Udinese,A,2.4,3.1,3.2
27/09/15,Genoa,Milan,H,3.3,3.2,2.3
27/09/15,Inter,Fiorentina,A,1.8,3.6,4.5
27/09/15,Sassuolo,Chievo,D,2.2,3.2,3.5
27/09/15,Torino,Palermo,H,1.75,3.6,5.0
27/09/15,Verona,Lazio,A,3.75,3.4,2.05
28/09/15,Atalanta,Sampdoria,H,2.1,3.4,3.6
28/09/15,Frosinone,Empoli,H,3.0,3.3,2.4
03/10/15,Carpi,Torino,H,3.5,3.2,2.2
03/10/15,Chievo,Verona,D,2.1,3.3,3.75
