Date,HomeTeam,AwayTeam,FTR,HomeOdds,DrawOdds,AwayOdds
09/09/11,Milan,Lazio,D,1.62,3.75,5.5
10/09/11,Cesena,Napoli,A,3.25,3.3,2.2
11/09/11,Catania,Siena,D,2.0,3.2,4.0
11/09/11,Chievo,Novara,D,1.91,3.25,4.33
11/09/11,Fiorentina,Bologna,H,1.62,3.4,6.5
11/09/11,Genoa,Atalanta,D,1.73,3.5,5.0
11/09/11,Juventus,Parma,H,1.4,4.5,8.0
11/09/11,Lecce,Udinese,A,3.0,3.2,2.4
11/09/11,Palermo,Inter,H,3.75,3.4,2.0
11/09/11,Roma,Cagliari,A,1.5,4.0,7.0
17/09/11,Cagliari,Novara,H,1.62,3.6,6.0
17/09/11,Inter,Roma,D,1.85,3.5,4.2
18/09/11,Atalanta,Palermo,H,2.4,3.2,3.0
18/09/11,Bologna,Lecce,A,1.85,3.4,4.33
18/09/11,Catania,Cesena,H,2.1,3.1,3.8
18/09/11,Lazio,Genoa,A,1.73,3.5,5.0
18/09/11,Napoli,Milan,H,2.63,3.1,2.75
18/09/11,Parma,Chievo,H,2.05,3.25,3.75
18/09/11,Siena,Juventus,A,5.0,3.5,1.73
18/09/11,Udinese,Fiorentina,H,2.1,3.3,3.5
20/09/11,Novara,Inter,H,6.0,3.6,1.62
21/09/11,Cesena,Lazio,A,3.4,3.2,2.2
21/09/11,Chievo,Napoli,H,4.0,3.2,2.0
21/09/11,Fiorentina,Parma,H,1.8,3.3,4.75
21/09/11,Genoa,Catania,H,1.8,3.3,4.75
21/09/11,Juventus,Bologna,D,1.4,4.33,8.5
21/09/11,Lecce,Atalanta,A,2.5,3.1,2.9
21/09/11,Milan,Udinese,D,1.67,3.5,5.5
21/09/11,Palermo,Cagliari,H,1.91,3.4,4.0
22/09/11,Roma,Siena,D,1.57,3.75,6.0
24/09/11,Bologna,Inter,A,4.0,3.4,1.91
24/09/11,Milan,Cesena,H,1.33,5.0,8.5
24/09/11,Napoli,Fiorentina,D,1.73,3.5,5.0
25/09/11,Atalanta,Novara,H,1.8,3.3,4.75
25/09/11,Cagliari,Udinese,D,2.5,3.2,2.8
25/09/11,Catania,Juventus,D,4.0,3.2,2.0
25/09/11,Chievo,Genoa,H,2.5,3.2,2.8
25/09/11,Lazio,Palermo,D,1.83,3.4,4.5
25/09/11,Parma,Roma,A,3.0,3.2,2.38
25/09/11,Siena,Lecce,H,1.91,3.25,4.33
01/10/11,Inter,Napoli,A,2.0,3.3,3.75
01/10/11,Roma,Atalanta,H,1.7,3.6,5.0
02/10/11,Cesena,Chievo,D,2.4,3.1,3.1
02/10/11,Fiorentina,Lazio,A,2.0,3.4,3.75
02/10/11,Juventus,Milan,H,2.38,3.2,3.0
02/10/11,Lecce,Cagliari,A,2.63,3.1,2.75
02/10/11,Novara,Catania,D,2.3,3.2,3.1
02/10/11,Palermo,Siena,H,1.91,3.4,4.0
02/10/11,Parma,Genoa,H,2.45,3.1,3.0
02/10/11,Udinese,Bologna,H,1.57,3.8,6.0
15/10/11,Catania,Inter,H,3.6,3.25,2.1
15/10/11,Milan,Palermo,H,1.44,4.2,7.5
15/10/11,Napoli,Parma,A,1.5,3.75,7.5
16/10/11,Atalanta,Udinese,D,2.6,3.1,2.8
16/10/11,Cagliari,Siena,D,1.91,3.25,4.33
16/10/11,Cesena,Fiorentina,D,3.0,3.2,2.4
16/10/11,Chievo,Juventus,D,4.0,3.2,2.0
16/10/11,Genoa,Lecce,D,1.57,3.75,6.0
16/10/11,Lazio,Roma,H,2.6,3.2,2.75
16/10/11,Novara,Bologna,A,2.0,3.3,3.8
22/10/11,Fiorentina,Catania,D,1.67,3.5,5.5
22/10/11,Juventus,Genoa,D,1.62,3.6,6.0
23/10/11,Bologna,Lazio,A,3.5,3.3,2.1
23/10/11,Cagliari,Napoli,D,2.8,3.25,2.5
23/10/11,Inter,Chievo,H,1.55,3.75,6.5
23/10/11,Lecce,Milan,A,7.0,4.0,1.5
23/10/11,Parma,Atalanta,A,2.1,3.2,3.6
23/10/11,Roma,Palermo,H,1.73,3.5,5.0
23/10/11,Siena,Cesena,H,1.83,3.4,4.5
23/10/11,Udinese,Novara,H,1.44,4.2,7.5
25/10/11,Juventus,Fiorentina,H,1.67,3.6,5.5
26/10/11,Atalanta,Inter,D,3.2,3.25,2.25
26/10/11,Cesena,Cagliari,D,2.7,3.1,2.7
26/10/11,Chievo,Bologna,A,1.8,3.25,5.0
26/10/11,Genoa,Roma,H,2.6,3.2,2.75
26/10/11,Lazio,Catania,D,1.67,3.6,5.5
26/10/11,Milan,Parma,H,1.33,4.75,10.0
26/10/11,Napoli,Udinese,H,2.05,3.25,3.75
26/10/11,Novara,Siena,D,2.4,3.2,3.0
27/10/11,Palermo,Lecce,H,1.53,4.0,6.25
29/10/11,Catania,Napoli,H,2.9,3.1,2.5
29/10/11,Inter,Juventus,A,2.5,3.2,2.88
29/10/11,Roma,Milan,A,2.75,3.2,2.6
30/10/11,Bologna,Atalanta,H,2.5,3.2,2.88
30/10/11,Cagliari,Lazio,A,2.5,3.2,2.88
30/10/11,Fiorentina,Genoa,H,2.0,3.2,4.0
30/10/11,Lecce,Novara,D,2.2,3.3,3.3
30/10/11,Parma,Cesena,H,1.8,3.25,5.0
30/10/11,Siena,Chievo,H,2.1,3.2,3.6
30/10/11,Udinese,Palermo,H,1.67,3.6,5.5
05/11/11,Novara,Roma,A,4.0,3.4,1.91
05/11/11,Palermo,Bologna,H,1.67,3.5,5.5
06/11/11,Atalanta,Cagliari,H,2.1,3.25,3.5
06/11/11,Cesena,Lecce,A,2.0,3.2,4.0
06/11/11,Chievo,Fiorentina,H,2.7,3.1,2.7
06/11/11,Lazio,Parma,H,1.57,3.6,6.5
06/11/11,Milan,Catania,H,1.33,4.5,11.0
06/11/11,Udinese,Siena,H,1.62,3.6,6.0
19/11/11,Fiorentina,Milan,D,3.5,3.25,2.1
19/11/11,Inter,Cagliari,H,1.53,3.8,6.5
19/11/11,Napoli,Lazio,D,2.05,3.25,3.75
20/11/11,Bologna,Cesena,A,1.91,3.3,4.2
20/11/11,Catania,Chievo,A,1.91,3.3,4.2
20/11/11,Genoa,Novara,H,1.57,3.75,6.0
20/11/11,Juventus,Palermo,H,1.44,4.2,7.5
20/11/11,Parma,Udinese,H,2.9,3.1,2.5
20/11/11,Roma,Lecce,H,1.36,4.5,9.0
20/11/11,Siena,Atalanta,D,2.1,3.2,3.6
25/11/11,Udinese,Roma,H,2.25,3.2,3.25
26/11/11,Atalanta,Napoli,D,2.63,3.1,2.75
26/11/11,Lazio,Juventus,A,2.75,3.1,2.63
26/11/11,Lecce,Catania,A,2.6,3.1,2.8
26/11/11,Novara,Parma,H,2.5,3.1,2.9
27/11/11,Cagliari,Bologna,D,1.85,3.3,4.5
27/11/11,Cesena,Genoa,H,2.63,3.1,2.75
27/11/11,Milan,Chievo,H,1.33,4.75,10.0
27/11/11,Palermo,Fiorentina,H,2.3,3.1,3.3
27/11/11,Siena,Inter,A,3.0,3.2,2.38
29/11/11,Napoli,Juventus,D,2.4,3.2,3.0
02/12/11,Genoa,Milan,A,4.5,3.5,1.8
03/12/11,Inter,Udinese,A,2.0,3.3,3.75
03/12/11,Napoli,Lecce,H,1.36,4.5,9.0
04/12/11,Bologna,Siena,H,2.5,3.0,3.0
04/12/11,Catania,Cagliari,A,2.0,3.2,4.0
04/12/11,Chievo,Atalanta,D,2.3,3.1,3.25
04/12/11,Fiorentina,Roma,H,2.4,3.1,3.1
04/12/11,Juventus,Cesena,H,1.25,5.5,12.0
04/12/11,Parma,Palermo,D,2.1,3.2,3.6
05/12/11,Lazio,Novara,H,1.36,4.5,9.0
10/12/11,Inter,Fiorentina,H,1.91,3.25,4.33
10/12/11,Lecce,Lazio,A,4.2,3.25,1.91
10/12/11,Palermo,Cesena,A,1.62,3.6,6.0
10/12/11,Siena,Genoa,A,2.1,3.2,3.6
11/12/11,Atalanta,Catania,D,2.0,3.2,4.0
11/12/11,Bologna,Milan,D,8.0,4.0,1.44
11/12/11,Cagliari,Parma,D,2.1,3.1,3.75
11/12/11,Novara,Napoli,D,4.0,3.4,1.91
11/12/11,Udinese,Chievo,H,1.5,3.75,7.5
12/12/11,Roma,Juventus,D,4.0,3.2,2.0
13/12/11,Genoa,Inter,A,3.25,3.2,2.25
17/12/11,Chievo,Cagliari,H,1.91,3.25,4.2
17/12/11,Fiorentina,Atalanta,D,1.91,3.25,4.33
17/12/11,Milan,Siena,H,1.29,5.0,12.0
18/12/11,Catania,Palermo,H,2.1,3.2,3.6
18/12/11,Cesena,Inter,A,4.75,3.25,1.83
18/12/11,Genoa,Bologna,H,1.8,3.4,4.75
18/12/11,Juventus,Novara,H,1.22,6.0,13.0
18/12/11,Lazio,Udinese,D,2.2,3.2,3.4
18/12/11,Napoli,Roma,A,1.83,3.4,4.5
18/12/11,Parma,Lecce,D,1.67,3.6,5.5
20/12/11,Cagliari,Milan,A,6.5,3.6,1.57
20/12/11,Siena,Fiorentina,D,2.5,3.1,2.9
21/12/11,Atalanta,Cesena,H,1.91,3.25,4.33
21/12/11,Bologna,Roma,A,3.4,3.1,2.25
21/12/11,Inter,Lecce,H,1.3,5.0,11.0
21/12/11,Lazio,Chievo,D,1.53,3.75,7.0
21/12/11,Napoli,Genoa,H,1.57,3.75,6.25
21/12/11,Novara,Palermo,D,2.38,3.0,3.2
21/12/11,Parma,Catania,D,2.1,3.2,3.6
21/12/11,Udinese,Juventus,D,2.88,3.2,2.5
07/01/12,Inter,Parma,H,1.4,4.33,8.5
07/01/12,Siena,Lazio,H,3.25,3.1,2.3
08/01/12,Atalanta,Milan,A,5.5,3.25,1.73
08/01/12,Bologna,Catania,H,2.3,3.2,3.2
