Team,Points
Inter,91
Milan,79
Atalanta,78
Juventus,78
Napoli,77
Lazio,68
Roma,63
Sassuolo,62
Sampdoria,52
Verona,43
Genoa,42
Bologna,41
Fiorentina,40
Udinese,40
Spezia,39
Torino,37
Cagliari,37
Benevento,33
Crotone,23
Parma,20
