Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
24/08/2019,Parma,Juventus,A,9.0,5.25,1.33
24/08/2019,Fiorentina,Napoli,A,4.75,3.75,1.72
25/08/2019,Udinese,Milan,H,3.75,3.3,2.05
25/08/2019,Cagliari,Brescia,A,1.83,3.6,4.33
25/08/2019,Roma,Genoa,D,1.45,4.2,8.0
25/08/2019,Sampdoria,Lazio,A,3.5,3.4,2.05
25/08/2019,Spal,Atalanta,A,4.75,3.75,1.72
25/08/2019,Torino,Sassuolo,H,1.85,3.5,4.33
25/08/2019,Verona,Bologna,D,3.4,3.2,2.25
26/08/2019,Inter,Lecce,H,1.22,6.25,13.0
30/08/2019,Bologna,Spal,H,1.8,3.5,4.6
31/08/2019,Milan,Brescia,H,1.44,4.33,8.0
31/08/2019,Juventus,Napoli,H,1.95,3.4,4.2
01/09/2019,Lazio,Roma,D,2.15,3.6,3.3
01/09/2019,Atalanta,Torino,A,1.57,4.0,5.75
01/09/2019,Cagliari,Inter,A,5.5,3.75,1.66
01/09/2019,Genoa,Fiorentina,H,2.62,3.3,2.75
01/09/2019,Lecce,Verona,A,1.95,3.5,3.8
01/09/2019,Sassuolo,Sampdoria,H,2.25,3.4,3.2
01/09/2019,Udinese,Parma,A,2.05,3.4,3.75
14/09/2019,Fiorentina,Juventus,D,4.75,3.8,1.72
14/09/2019,Napoli,Sampdoria,H,1.25,6.5,10.0
14/09/2019,Inter,Udinese,H,1.33,5.25,9.0
15/09/2019,Genoa,Atalanta,A,3.4,3.8,2.0
15/09/2019,Brescia,Bologna,A,3.0,3.3,2.4
15/09/2019,Parma,Cagliari,A,2.25,3.25,3.3
15/09/2019,Spal,Lazio,H,6.0,4.0,1.57
15/09/2019,Roma,Sassuolo,H,1.65,4.2,4.75
15/09/2019,Verona,Milan,A,5.5,3.8,1.61
16/09/2019,Torino,Lecce,A,1.5,4.33,6.5
20/09/2019,Cagliari,Genoa,H,2.75,3.4,2.55
21/09/2019,Udinese,Brescia,A,1.9,3.5,4.2
21/09/2019,Juventus,Verona,H,1.14,8.0,19.0
21/09/2019,Milan,Inter,A,3.4,3.3,2.2
22/09/2019,Sassuolo,Spal,H,1.95,3.3,4.2
22/09/2019,Bologna,Roma,A,2.87,3.3,2.5
22/09/2019,Lecce,Napoli,A,9.0,5.25,1.33
22/09/2019,Sampdoria,Torino,H,2.6,3.4,2.7
22/09/2019,Atalanta,Fiorentina,D,2.05,3.6,3.5
22/09/2019,Lazio,Parma,H,1.3,5.5,10.0
24/09/2019,Verona,Udinese,D,2.5,3.3,2.87
24/09/2019,Brescia,Juventus,A,6.5,4.1,1.53
25/09/2019,Roma,Atalanta,A,2.2,3.8,3.0
25/09/2019,Fiorentina,Sampdoria,H,1.7,4.0,4.75
25/09/2019,Genoa,Bologna,D,2.37,3.5,2.87
25/09/2019,Inter,Lazio,H,2.0,3.5,3.75
25/09/2019,Napoli,Cagliari,A,1.2,7.0,13.0
25/09/2019,Parma,Sassuolo,H,2.5,3.5,2.75
25/09/2019,Spal,Lecce,A,1.95,3.6,4.0
26/09/2019,Torino,Milan,H,2.3,3.25,3.1
28/09/2019,Juventus,Spal,H,1.22,6.0,13.0
28/09/2019,Sampdoria,Inter,A,5.25,3.8,1.65
28/09/2019,Sassuolo,Atalanta,A,3.5,3.6,2.05
29/09/2019,Napoli,Brescia,H,1.25,6.0,12.0
29/09/2019,Lazio,Genoa,H,1.44,4.75,7.0
29/09/2019,Lecce,Roma,A,4.2,4.0,1.75
29/09/2019,Udinese,Bologna,H,2.87,3.2,2.55
29/09/2019,Cagliari,Verona,D,2.05,3.3,3.75
29/09/2019,Milan,Fiorentina,A,2.25,3.2,3.3
30/09/2019,Parma,Torino,H,3.1,3.4,2.3
05/10/2019,Spal,Parma,H,2.37,3.3,3.1
05/10/2019,Verona,Sampdoria,H,2.4,3.25,3.0
05/10/2019,Genoa,Milan,A,3.0,3.2,2.5
06/10/2019,Fiorentina,Udinese,H,1.55,4.0,6.5
06/10/2019,Atalanta,Lecce,H,1.25,6.0,10.0
06/10/2019,Bologna,Lazio,D,3.3,3.75,2.1
06/10/2019,Roma,Cagliari,D,1.44,4.75,7.0
06/10/2019,Torino,Napoli,D,4.0,3.8,1.83
06/10/2019,Inter,Juventus,A,2.6,3.2,2.8
19/10/2019,Lazio,Atalanta,D,2.2,3.75,3.1
19/10/2019,Napoli,Verona,H,1.22,6.5,13.0
19/10/2019,Juventus,Bologna,H,1.3,5.25,10.0
20/10/2019,Sassuolo,Inter,A,5.25,3.6,1.72
20/10/2019,Cagliari,Spal,H,2.1,3.3,3.75
20/10/2019,Sampdoria,Roma,D,3.3,3.6,2.15
20/10/2019,Udinese,Torino,H,2.87,3.2,2.6
20/10/2019,Parma,Genoa,H,2.45,3.25,3.0
20/10/2019,Milan,Lecce,D,1.4,4.75,8.0
21/10/2019,Brescia,Fiorentina,D,3.75,3.4,2.05
25/10/2019,Verona,Sassuolo,A,2.4,3.4,3.0
26/10/2019,Lecce,Juventus,D,9.0,5.75,1.3
26/10/2019,Inter,Parma,D,1.28,5.5,11.0
26/10/2019,Genoa,Brescia,H,1.9,3.6,4.0
27/10/2019,Bologna,Sampdoria,H,1.9,3.8,3.8
27/10/2019,Atalanta,Udinese,H,1.4,5.0,7.5
27/10/2019,Spal,Napoli,D,7.5,4.5,1.44
27/10/2019,Torino,Cagliari,D,1.75,3.75,4.75
27/10/2019,Roma,Milan,H,2.15,3.4,3.4
27/10/2019,Fiorentina,Lazio,A,2.4,3.5,2.87
29/10/2019,Parma,Verona,A,2.75,3.1,2.75
29/10/2019,Brescia,Inter,A,6.5,4.33,1.5
30/10/2019,Napoli,Atalanta,D,2.0,3.75,3.5
30/10/2019,Cagliari,Bologna,H,2.7,3.3,2.62
30/10/2019,Juventus,Genoa,H,1.28,5.25,12.0
30/10/2019,Lazio,Torino,H,1.57,4.2,5.75
30/10/2019,Sampdoria,Lecce,D,1.66,4.0,4.75
30/10/2019,Sassuolo,Fiorentina,A,2.87,3.5,2.4
30/10/2019,Udinese,Roma,A,4.0,3.5,1.95
31/10/2019,Milan,Spal,H,1.45,4.2,8.0
02/11/2019,Roma,Napoli,H,2.75,3.6,2.45
02/11/2019,Bologna,Inter,A,3.75,3.6,2.0
02/11/2019,Torino,Juventus,A,7.0,4.2,1.5
03/11/2019,Atalanta,Cagliari,A,1.28,5.5,11.0
03/11/2019,Genoa,Udinese,A,1.9,3.4,4.2
03/11/2019,Lecce,Sassuolo,D,2.6,3.4,2.6
03/11/2019,Verona,Brescia,H,2.15,3.3,3.5
03/11/2019,Fiorentina,Parma,D,1.5,4.33,6.5
