Team,Points
Inter,82
Roma,80
Milan,70
Sampdoria,67
Palermo,65
Napoli,59
Juventus,55
Parma,52
Genoa,51
Bari,50
Fiorentina,47
Lazio,46
Catania,45
Udinese,44
Cagliari,44
Chievo,44
Bologna,42
Atalanta,35
Siena,31
Livorno,29
